#?????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#ßƒ???????????????˙È?????????°M?????§D??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#¢†??˙„??•Ü?????'|'??˛˙??¶˙???????ßk??¶V???????¶u???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#¶˙???????ßk???????1???2???3????????????˛ÿ????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#?????°@§e??????????????¢]?˝Õ????1??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,¢r?,ß}?¢r?,??¢r?,°P•f¢r?,????,®˜?,??,°P®˜,°P?,??•K?,????,?????,Éà?,??,????,???,?????,????,?§ö,??§ö,?ßI?,¢r?(?),¢r?(?°q),¢r?(?°q?,¢r?(?),¢†?,˙„?,•Ü?,?¸Ê,ßD•h,ßÖ¢e?,•X???,?,??,??ßç¢r?,??ßç,?°Ç????,?©ú?¸Ê???,˚Õ??ßç¢r?,˚Õ??ßç,˚Õ?°Ç????,?????(????),˝ı¶î???(????),¢†???????,˙„???????,•Ü???????,?°ó?
#°â˚Í,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,111,112,135,331,113,121,122,121,330,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,341,341,341,369,370,361,362,363,364,331,331,331,383,331,331,331,326,327,342,342,342,111
#£Y?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,111,112,135,332,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,344 | 450,344 | 450,348,391,393,371,362,363,364,332,332,332,392,332,332,332,326,327,345,345,399,111
#®¬˚Í?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,111,112,135,332,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,344,344,348,391,393,371,362,363,364,332,332,332,392,332,332,332,326,327,345,345,399,111
#?˚Í?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,111,112,135,333,113,121,122,121,367,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,346,346,348,391,393,373,362,363,364,333,333,333,392,333,333,333,326,327,347,347,399,111
#????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,111,112,135,365,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,344,344,348,391,393,375,362,363,364,365,365,365,392,365,365,365,326,327,345,345,399,111
#®¬˚Í???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,111,112,135,334,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,350,350,348,391,393,372,362,363,364,334,334,334,392,334,334,334,326,327,349,349,399,111
#?˚Í???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,111,112,135,335,113,121,122,121,367,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,351,346,348,391,393,374,362,363,364,335,335,335,392,335,335,335,326,327,401,347,399,111
#®¬˚Í?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,111,112,135,334,113,121,122,121,366,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,350,350,348,391,393,372,362,363,364,334,334,334,392,334,334,334,326,327,349,349,399,111
#?˚Í?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,111,112,135,335,113,121,122,121,367,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,351,346,348,391,393,374,362,363,364,335,335,335,392,335,335,335,326,327,401,347,399,111
#®¬˚Í?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,111,112,135,365,113,121,122,121,368,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,348,344,348,391,393,375,362,363,364,365,365,365,392,365,365,365,326,327,399,345,399,111
#?˚Í?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,111,112,135,415,113,121,122,121,368,123,124,131,132,133,134,136,137,138,140,141,142,183,184,186,187,419,419,419,391,393,421,362,363,364,365,365,365,392,365,365,365,326,327,420,420,420,111
#˝‘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
