#MONSTERID,モンスター名,PICTID,種別ID,憑依時間,再憑依時間,体の幅,体の長さ,特殊情報,,,,,,,,,,,,,,,,基本パラメータ,,,,,,,,戦闘パラメータ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,属性値,,,,,,,状態異常耐性,,,,,,,,,スキルリスト,,,,,,得意な採集カテゴリー※７月２５日追加, 
#,,,,(秒),(秒),,,飛行,アンデッド,霊,水中呼吸,真空耐性,熱耐性,冷気耐性,予備,予備,予備,予備,予備,予備,予備,予備,予備,腕力,魔力,体力,器用度,敏捷度,知性,運,魅力,最大HP,最大SP,最大MP,移動速度,最低攻撃力叩,最高攻撃力叩,最低攻撃力斬,最高攻撃力斬,最低攻撃力突,最高攻撃力突,最低魔法攻撃力,最高魔法攻撃力,物理防御－,物理防御％,魔法防御－,魔法防御％,近距離命中力,遠距離命中力,魔法命中力,近距離回避力,遠距離回避力,魔法回避力,クリティカル力,クリティカル回避力,回復力,魔法回復力,攻撃速度,詠唱速度,同調値,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足化,混乱,氷結,気絶,スキルID1,スキルID2,スキルID3,スキルID4,スキルID5,スキルID6,植物採集,鉱物採集,食べ物採集,魔法物採集,宝箱採集,発掘品採集,何でも採集,変なもの採集, 
#99999999,Limitation : W byte 16 characters,99999999,HUMAN,180,300,1,1,0,0,0,,,,,,,,,,,,,,127,127,127,127,127,127,127,127,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,0,0,0,0,0,0,0,
10030001,电路机械,10030001,MACHINE,180,300,1,1,0,0,0,1,1,1,0,,,,,,,,,,11,-7,20,3,-13,-8,0,0,40,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,30,0,0,-10,0,0,-30,-10,30,5500,5008,0,0,0,0,0,0,0,0,1,0,0,1,
10030002,电路机械,10030002,MACHINE,180,300,1,1,0,0,0,1,1,1,0,,,,,,,,,,12,-7,21,3,-12,-8,0,9,55,31,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,30,0,0,-10,0,0,-30,-10,30,5500,5008,0,0,0,0,0,0,0,0,1,0,0,1,
20270000,破坏零号机,20270000,MACHINE,180,300,1,1,0,0,0,1,1,1,0,,,,,,,,,,11,-7,20,3,-13,-8,0,0,40,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,30,0,0,-10,0,0,-30,-10,30,5519,5008,0,0,0,0,0,0,0,0,1,0,0,1,
20290000,武者电路机械,20290000,MACHINE,180,300,1,1,0,0,0,1,1,1,0,,,,,,,,,,11,-7,20,3,-13,-8,0,0,40,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,30,0,0,-10,0,0,-30,-10,30,5008,0,0,0,0,0,0,0,0,0,1,0,0,1,
10530700,黄金熊,10530700,ANIMAL,180,300,1,1,0,0,0,0,0,0,1,,,,,,,,,,13,-10,20,0,-15,-10,0,0,30,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,10,0,0,-10,-30,10,30,-10,5008,0,0,0,0,0,0,0,1,0,0,0,1,1,
10027000,皮诺,10027000,ELEMENT,180,300,1,1,0,0,0,0,1,0,0,,,,,,,,,,0,3,-5,7,10,0,0,0,10,5,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,5506,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10027001,皮诺,10027001,ELEMENT,180,300,1,1,0,0,0,0,1,0,0,,,,,,,,,,0,3,-5,7,10,0,0,15,25,20,35,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,5506,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10019300,爱伊斯,10019300,ELEMENT,180,300,1,1,1,0,0,1,1,0,1,,,,,,,,,,0,8,-3,0,5,7,0,0,20,3,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,-10,0,0,0,-10,0,-10,30,0,5509,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10019301,爱伊斯,10019301,ELEMENT,180,300,1,1,1,0,0,1,1,0,1,,,,,,,,,,0,8,-3,0,5,7,0,17,35,25,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,-10,0,0,0,-10,0,-10,30,0,5509,5010,0,0,0,0,0,0,0,1,0,0,0,0,
10021800,小丘比,10021800,MACHINE,180,300,1,1,1,0,0,1,1,1,0,,,,,,,,,,-8,0,-8,5,8,10,0,0,20,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5515,5009,0,0,0,0,0,0,0,0,0,0,0,0,
