#10,,,,体格,,,特殊情報,,,設定,基本パラメータ,,,,,,,,ステータス,,,,物理攻撃,,,魔法攻撃,,防御力,,,,命中,,,回避,,,クリティカル,,,,攻撃速度,,,属性値,,,,,,,状態異常耐性,,,,,,,,,思考ID(通常）,,,,,,,,,,思考(出現),,思考ID(瀕死),,,,,,,,,,思考(終焉）,,スキルリスト,,,,,,,,,,,,経験値,,ドロップ,ドロップアイテム,,,,,,,,,備考 #ID,NAME,PICTID,?? ID,?,??,???,??,? ??,LV,??,??,??,??,??,??,?,??,HP,SP,MP,??,??,??,??,??,??,??,??%,??,??%,??,??,??,??,??,??,??,??,???,????,??,??,??,无,火,水,风,土,光,?,?,??,??,??,??,??? ?? ??,??,??,??,ID１,??,ID2,??,ID3,??,ID4,??,ID5,??,ID,??,ID１,??,ID2,??,ID3,??,ID4,??,ID5,??,ID,??,ＩＤ１,??,ＩＤ２,??,ＩＤ３,??,ＩＤ４,??,ＩＤ５,??,ＩＤ６,??,EXP,JOB,ID,??? ID1,??? ID2,??? ID3,??? ID4,??? ID5,??? ID6,??? ID7,ID8(???),ID8 ??, ,
#ID,名前,PICTID,種別ＩＤ,幅,長さ,スケール,飛行,アンデッド,モーションセット番号,LV,腕力,魔力,体力,器用,敏捷,知性,運,魅力,HP,SP,MP,速度,最小,最大,タイプ,最小,最大,物理－,物理％,魔法－,魔法％,近接,遠隔,魔法,近接,遠隔,魔法,発生,回避,回復力,魔回復力,物理,詠唱,射程,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足,混乱,氷結,気絶,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,ＩＤ１,確率,ＩＤ２,確率,ＩＤ３,確率,ＩＤ４,確率,ＩＤ５,確率,ＩＤ６,確率,EXP,JOB,ID,アイテムID1,アイテムID2,アイテムID3,アイテムID4,アイテムID5,アイテムID6,アイテムID7,ID8（スタンプ）,ＩＤ8確率, 
#99999999,Limitation : W byte 16 characters,99999999,HUMAN,1,1,1,0,0,0,127,127,127,127,127,127,127,127,9999,9999,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,0,100,100,100,100,100,100,9999,9999,9999,9999,9999,9999,9999,9999,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,9999,0,9999,0,9999,0,9999,0,9999,0,9999,0,99999999,99999999,0,99999999,99999999,99999999,99999999,null,99999999,99999999,99999999,99999999,
10000000,皮露露,10000000,PLANT,1,1,1,0,0,1,6,1,1,11,10,3,1,1,23,0,0,200,5,7,BLOW,1,1,0,0,0,0,5,95,10,0,0,200,3,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,10000104,10032800,10001805,10032803,null,10034507,10034508,10050900,350,#初心者?友,
10000002,微型皮露露,10000000,PLANT,1,1,0.6,0,0,0,6,1,1,11,10,3,1,1,21,0,0,200,4,6,BLOW,1,1,0,0,0,0,4,90,10,0,0,200,1,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,null,null,null,null,null,null,null,
10000003,纳米皮露露,10000000,PLANT_NOTOUCH,1,1,0.4,0,0,1,6,1,1,11,10,3,1,1,21,0,0,200,4,6,BLOW,1,1,0,0,0,0,4,90,10,0,0,200,1,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,100,0,0,0,0,0,0,0,0,0,0,49,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,,,#??,
10000004,攻击沙袋,10000000,PLANT,1,1,1,0,0,10,0,0,0,0,0,0,0,0,9999,1,1,200,50,50,BLOW,1,1,50,50,0,0,100,100,1,50,50,1,25,1,100,1,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,null,null,null,null,null,null,null,
10000006,珍宝皮露露,10000000,PLANT_BOSS,1,1,7,0,0,28,50,10,50,20,20,20,50,50,10000,999,999,200,55,100,BLOW,50,50,50,30,30,10,100,100,100,50,50,50,25,1,100,1,200,100,1,0,0,0,0,0,0,0,25,25,25,25,25,50,50,50,10,1,33,14,33,15,34,0,0,0,0,0,0,1,70,14,30,0,0,0,0,0,0,0,0,7530,50,7548,50,0,0,0,0,0,0,0,0,1000,1500,9,P_10001805,P_10001805,P_10032803,P_10032803,P_10032803,P_10034507,10005200,,,#初心者??,
10000100,红色杰利,10000100,PLANT,1,1,1,0,0,21,21,15,20,17,20,11,1,1,210,0,0,210,28,34,BLOW,6,11,20,10,58,10,54,102,60,32,32,200,3,14,100,1,304,200,1,0,20,0,0,0,0,0,0,0,255,0,0,0,0,0,255,23,100,0,0,0,0,0,0,0,0,0,0,23,100,0,0,0,0,0,0,0,0,0,0,7508,100,0,0,0,0,0,0,0,0,0,0,48,62,3,null,10032800,10034507,10034508,null,10032801,10034505,10050908,500,
10000101,无限回廊的红色杰利,10000100,PLANT,1,1,1,0,0,9,50,50,50,50,50,50,50,50,60,1000,1000,350,15,21,BLOW,0,0,16,10,22,15,65,0,40,40,30,31,1,1,100,1,200,200,1,0,0,0,0,0,0,0,21,168,105,42,0,0,255,255,126,23,100,0,0,0,0,0,0,0,0,0,0,23,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,,,#??????、???系,
10000200,魔法皮露露,10000200,PLANT,1,1,1,0,0,15,20,14,18,17,19,10,1,1,110,44,49,220,18,21,BLOW,68,75,16,12,70,45,31,100,51,20,19,200,2,6,100,1,200,560,1,0,0,0,0,0,50,0,0,0,0,0,255,0,255,0,0,16,100,0,0,0,0,0,0,0,0,0,0,16,100,0,0,0,0,0,0,0,0,0,0,7519,100,0,0,0,0,0,0,0,0,0,0,23,27,3,null,10002202,10032800,10032802,null,10034508,10034505,10050907,800,
10000201,魔法沙袋,10000200,PLANT,1,1,1,0,0,10,0,0,0,0,0,0,0,0,9999,1,1,200,1,1,BLOW,50,50,0,0,50,50,0,1,100,1,1,100,1,50,100,1,0,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,100,0,0,0,0,0,0,0,0,0,0,14,100,0,0,0,0,0,0,0,0,0,0,7567,50,7577,50,0,0,0,0,0,0,0,0,0,0,4,null,null,null,null,null,null,null,
10000300,咕噜,10000300,PLANT,1,1,1,0,0,10,17,11,14,16,17,9,1,1,75,0,0,260,12,16,BLOW,12,16,23,18,27,30,17,98,31,9,9,200,2,2,100,1,224,320,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,255,0,1,80,9,20,0,0,0,0,0,0,0,0,9,100,0,0,0,0,0,0,0,0,0,0,7511,100,0,0,0,0,0,0,0,0,0,0,13,14,3,null,10000210,10001800,10019900,null,10032804,10034507,10050903,800,
