#PICT??,?????˛è,˝∆ßS˛´,?ßS˛´,?,?,ßF?,◊˚˙Û,ßF˝ﬂ?,ßF˝ﬂ?,ßF˝ﬂ?,ßF˝ﬂ?,?˝ﬂ?,???,????,????,??????,?˚Í,?˚Í,¶ë??,???,?¢K?,???,¶‹?ßF,¶‹?ßF,¶‹?ßF,¶‹?ßF,?˚Í,?¢K?,?˚Í,?,?§D?ß∆,˝–??????ID,???????ID,???????????,?ßS˛´1,?ßS˛´2,?ßS˛´3,
#,,,???,???,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,
#,,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,,,,MRB,MRB,MRB,
10000000,???,1000_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000100,????????,1000_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000200,??????,1000_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000300,???,1000_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000400,????????,1000_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000500,???????,1000_00_00_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000700,???????,1000_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000800,????????,1000_00_00_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000801,??????,1000_00_00_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000900,??????,1000_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10001000,????,1000_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10005000,??????,1000_00_00_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10010000,????,1001_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10015000,??????,1001_00_00_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10010100,?????,1001_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10020000,?????,1002_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10020100,??????˛ˆ,1002_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10020200,???????,1002_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10020700,???????,1002_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10020900,???????,1002_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10021000,???????,1002_00_00_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030000,??,1003_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030100,?????,1003_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030400,??????,1003_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10030500,???????,1003_00_00_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
