#NPCID,NAME,MAPID,座标Ｘ,座标Ｙ,方向,scale,ＥＶＥＮＴＩＤ,NOTOUCH,ＰＩＣＴＩＤ,初期?????,透明度(0~255)???? 0 以外????重?????注意??????,?????表示,?形影?描?,

#10000000,
18000000,NPC2 TEST,20013003,65,72,4,1,18000000,0,11001218,111,0,1,0,
18000001,阿高普路斯泰迪,10071000,245,86,5,1.5,18000001,0,11000724,111,0,1,0,
18000002,ECO 经营团队,20080001,25,25,0,1.5,18000002,0,11000029,135,0,1,0,
18000003,ECO 经营团队,20080002,25,25,0,1.5,18000003,0,11000113,111,0,1,0,
#18000004,谜之团团员帕鲁鲁,10014000,134,85,1,1,18000004,0,18000004,131,0,1,0,
#18000005,谜之团员格丽迪,10025000,215,74,1,1,18000005,0,18000005,122,0,1,0,
#18000006,谜之团员卡林,10031000,149,159,1,1,18000006,0,18000006,131,0,1,0,
#18000007,干部布鲁,50033000,6,4,0,1,18000007,0,11000768,131,0,1,0,
#18000008,爱嘉,50034000,4,3,0,1.1,18000008,0,11000282,111,0,1,0,


