<?xml version="1.0" encoding="utf-8"?>
<Config>
 <Name>WindowParam</Name>
 <WindowParam Version="1.0">
  <UI_SHOP_BUY>
   <BASE>
    <CODE KEY="cx">506</CODE>
    <CODE KEY="cy">301</CODE>
    <CODE KEY="px">100</CODE>
    <CODE KEY="py">60</CODE>
    <CODE KEY="cx_min">506</CODE>
    <CODE KEY="cx_max">600</CODE>
    <CODE KEY="cy_min">301</CODE>
    <CODE KEY="cy_max">500</CODE>
    <CODE KEY="listofs_y">69</CODE>
    <CODE KEY="listofs_y2">46</CODE>
   </BASE>
   <TABCTRL>
    <CODE KEY="px">0</CODE>
    <CODE KEY="py">24</CODE>
    <CODE KEY="cx">205</CODE>
    <CODE KEY="cy">40</CODE>
   </TABCTRL>
   <BUYBTN>
    <CODE KEY="px">40</CODE>
    <CODE KEY="py">276</CODE>
    <CODE KEY="frombottom">25</CODE>
   </BUYBTN>
   <CANCELBTN>
    <CODE KEY="px">124</CODE>
    <CODE KEY="py">276</CODE>
    <CODE KEY="frombottom">25</CODE>
   </CANCELBTN>
   <CHKBOX>
    <CODE KEY="px">9</CODE>
    <CODE KEY="py">182</CODE>
    <CODE KEY="cx">10</CODE>
    <CODE KEY="cy">10</CODE>
   </CHKBOX>
   <LEFTICON>
    <CODE KEY="px">13</CODE>
    <CODE KEY="py">51</CODE>
   </LEFTICON>
   <R_SCROLLBAR>
    <CODE KEY="py">24</CODE>
    <CODE KEY="fromright">22</CODE>
    <CODE KEY="frombottom">36</CODE>
   </R_SCROLLBAR>
   <R_ICON>
    <CODE KEY="px">214</CODE>
    <CODE KEY="py">24</CODE>
   </R_ICON>
   <UPBTN>
    <CODE KEY="py">44</CODE>
    <CODE KEY="fromright">41</CODE>
   </UPBTN>
   <DOWNBTN>
    <CODE KEY="py">53</CODE>
    <CODE KEY="fromright">41</CODE>
   </DOWNBTN>
   <NUMEDIT>
    <CODE KEY="py">44</CODE>
    <CODE KEY="fromright">66</CODE>
   </NUMEDIT>
   <PRICEPIC>
    <CODE KEY="px">267</CODE>
    <CODE KEY="py">46</CODE>
    <CODE KEY="cx">72</CODE>
    <CODE KEY="cy">12</CODE>
   </PRICEPIC>
   <NUMPIC>
    <CODE KEY="py">46</CODE>
    <CODE KEY="cx">72</CODE>
    <CODE KEY="cy">12</CODE>
    <CODE KEY="fromright">96</CODE>
   </NUMPIC>
   <ITEMNAME>
    <CODE KEY="px">257</CODE>
    <CODE KEY="py">23</CODE>
    <CODE KEY="cx">224</CODE>
    <CODE KEY="cy">18</CODE>
   </ITEMNAME>
   <CANEQUIPPIC>
    <CODE KEY="px">261</CODE>
    <CODE KEY="py">65</CODE>
    <CODE KEY="cx">66</CODE>
    <CODE KEY="cy">14</CODE>
   </CANEQUIPPIC>
   <TRYBTN>
    <CODE KEY="px">333</CODE>
    <CODE KEY="py">65</CODE>
    <CODE KEY="cx">63</CODE>
    <CODE KEY="cy">18</CODE>
   </TRYBTN>
   <TEXTEXT>
    <CODE KEY="px">24</CODE>
    <CODE KEY="py">142</CODE>
   </TEXTEXT>
   <VLINE>
    <CODE KEY="px">205</CODE>
    <CODE KEY="py">16</CODE>
   </VLINE>
   <HLINE>
    <CODE KEY="px">1</CODE>
    <CODE KEY="py">131</CODE>
    <CODE KEY="cx">204</CODE>
   </HLINE>
   <MONEYFRAME>
    <CODE KEY="px">110</CODE>
    <CODE KEY="py">140</CODE>
    <CODE KEY="cx">90</CODE>
    <CODE KEY="cy">16</CODE>
   </MONEYFRAME>
   <PAYFRAME>
    <CODE KEY="px">110</CODE>
    <CODE KEY="py">200</CODE>
    <CODE KEY="cx">90</CODE>
    <CODE KEY="cy">16</CODE>
   </PAYFRAME>
   <PRICEFRAME>
    <CODE KEY="px">294</CODE>
    <CODE KEY="py">44</CODE>
    <CODE KEY="cx">110</CODE>
    <CODE KEY="cy">16</CODE>
   </PRICEFRAME>
   <NUMFRAME>
    <CODE KEY="py">44</CODE>
    <CODE KEY="cx">25</CODE>
    <CODE KEY="cy">16</CODE>
    <CODE KEY="fromright">68</CODE>
   </NUMFRAME>
   <PRICE>
    <CODE KEY="px">294</CODE>
    <CODE KEY="py">47</CODE>
    <CODE KEY="cx">110</CODE>
    <CODE KEY="cy">12</CODE>
   </PRICE>
   <BUYNUM>
    <CODE KEY="py">47</CODE>
    <CODE KEY="cx">25</CODE>
    <CODE KEY="cy">12</CODE>
    <CODE KEY="fromright">64</CODE>
   </BUYNUM>
   <MONEYSTR>
    <CODE KEY="px">115</CODE>
    <CODE KEY="py">142</CODE>
    <CODE KEY="cx">80</CODE>
    <CODE KEY="cy">16</CODE>
   </MONEYSTR>
   <PAYSTR>
    <CODE KEY="px">140</CODE>
    <CODE KEY="py">202</CODE>
    <CODE KEY="cx">50</CODE>
    <CODE KEY="cy">12</CODE>
   </PAYSTR>
  </UI_SHOP_BUY>
  <UI_SHOP_SELL>
   <BASE>
    <CODE KEY="px">100</CODE>
    <CODE KEY="py">60</CODE>
    <CODE KEY="cx">506</CODE>
    <CODE KEY="cy">301</CODE>
    <CODE KEY="cx_min">506</CODE>
    <CODE KEY="cx_max">600</CODE>
    <CODE KEY="cy_min">301</CODE>
    <CODE KEY="cy_max">500</CODE>
    <CODE KEY="basefromright">205</CODE>
    <CODE KEY="listofs_y">46</CODE>
   </BASE>
   <TABCTRL>
    <CODE KEY="py">24</CODE>
    <CODE KEY="cy">16</CODE>
   </TABCTRL>
   <SELLBTN>
    <CODE KEY="px">34</CODE>
    <CODE KEY="py">276</CODE>
    <CODE KEY="frombottom">25</CODE>
   </SELLBTN>
   <CANCELBTN>
    <CODE KEY="px">113</CODE>
    <CODE KEY="py">276</CODE>
    <CODE KEY="frombottom">25</CODE>
   </CANCELBTN>
   <CHKBOX>
    <CODE KEY="px">8</CODE>
    <CODE KEY="py">182</CODE>
    <CODE KEY="cx">10</CODE>
    <CODE KEY="cy">10</CODE>
   </CHKBOX>
   <R_ICON>
    <CODE KEY="px">12</CODE>
    <CODE KEY="py">51</CODE>
   </R_ICON>
   <L_SCROLLBAR>
    <CODE KEY="py">24</CODE>
    <CODE KEY="fromcenter_x">21</CODE>
    <CODE KEY="frombottom">11</CODE>
   </L_SCROLLBAR>
   <L_ICON>
    <CODE KEY="px">9</CODE>
    <CODE KEY="py">24</CODE>
    <CODE KEY="cx">36</CODE>
    <CODE KEY="cy">36</CODE>
   </L_ICON>
   <UPBTN>
    <CODE KEY="py">44</CODE>
    <CODE KEY="cx">14</CODE>
    <CODE KEY="cy">8</CODE>
    <CODE KEY="fromcenter_x">41</CODE>
   </UPBTN>
   <DOWNBTN>
    <CODE KEY="py">53</CODE>
    <CODE KEY="cx">14</CODE>
    <CODE KEY="cy">8</CODE>
    <CODE KEY="fromcenter_x">41</CODE>
   </DOWNBTN>
   <ITEMNAME>
    <CODE KEY="px">56</CODE>
    <CODE KEY="py">24</CODE>
    <CODE KEY="cy">18</CODE>
    <CODE KEY="fromcenter_x">21</CODE>
   </ITEMNAME>
   <PRICEPIC>
    <CODE KEY="px">62</CODE>
    <CODE KEY="py">46</CODE>
    <CODE KEY="cx">72</CODE>
    <CODE KEY="cy">12</CODE>
   </PRICEPIC>
   <NUMPIC>
    <CODE KEY="py">46</CODE>
    <CODE KEY="cx">72</CODE>
    <CODE KEY="cy">12</CODE>
    <CODE KEY="fromcenter_x">98</CODE>
   </NUMPIC>
   <NUMEDIT>
    <CODE KEY="py">44</CODE>
    <CODE KEY="cx">27</CODE>
    <CODE KEY="cy">15</CODE>
    <CODE KEY="fromcenter_x">66</CODE>
   </NUMEDIT>
   <TEXTEXT>
    <CODE KEY="py">142</CODE>
    <CODE KEY="fromcenter_x">23</CODE>
   </TEXTEXT>
   <HLINE>
    <CODE KEY="py">131</CODE>
   </HLINE>
   <MONEYFRAME>
    <CODE KEY="px">112</CODE>
    <CODE KEY="py">140</CODE>
    <CODE KEY="cx">84</CODE>
    <CODE KEY="cy">16</CODE>
   </MONEYFRAME>
   <PAYFRAME>
    <CODE KEY="px">112</CODE>
    <CODE KEY="py">204</CODE>
    <CODE KEY="cx">84</CODE>
    <CODE KEY="cy">16</CODE>
   </PAYFRAME>
   <PRICEFRAME>
    <CODE KEY="px">89</CODE>
    <CODE KEY="py">44</CODE>
    <CODE KEY="cx">104</CODE>
    <CODE KEY="cy">16</CODE>
   </PRICEFRAME>
   <NUMFRAME>
    <CODE KEY="py">44</CODE>
    <CODE KEY="cx">27</CODE>
    <CODE KEY="cy">15</CODE>
    <CODE KEY="fromcenter_x">69</CODE>
   </NUMFRAME>
   <PRICESTR>
    <CODE KEY="px">103</CODE>
    <CODE KEY="py">47</CODE>
    <CODE KEY="cx">87</CODE>
    <CODE KEY="cy">16</CODE>
   </PRICESTR>
   <NUMSTR>
    <CODE KEY="py">47</CODE>
    <CODE KEY="cx">22</CODE>
    <CODE KEY="cy">16</CODE>
    <CODE KEY="fromcenter_x">63</CODE>
   </NUMSTR>
   <MONEYSTR>
    <CODE KEY="px">112</CODE>
    <CODE KEY="py">143</CODE>
    <CODE KEY="cx">81</CODE>
    <CODE KEY="cy">16</CODE>
   </MONEYSTR>
   <PAYSTR>
    <CODE KEY="px">135</CODE>
    <CODE KEY="py">207</CODE>
    <CODE KEY="cx">85</CODE>
    <CODE KEY="cy">16</CODE>
   </PAYSTR>
  </UI_SHOP_SELL>
  <UI_SYSTEM>
   <BASE>
    <CODE KEY="cx">410</CODE>
    <CODE KEY="cy">350</CODE>
    <CODE KEY="px">42</CODE>
    <CODE KEY="py">64</CODE>
   </BASE>
  </UI_SYSTEM>
  <UI_STATUS>
   <BASE>
    <CODE KEY="cx">160</CODE>
    <CODE KEY="cy">460</CODE>
    <CODE KEY="px">5</CODE>
    <CODE KEY="py">154</CODE>
   </BASE>
   <BASE2>
    <CODE KEY="cx">160</CODE>
    <CODE KEY="cy">172</CODE>
    <CODE KEY="px">5</CODE>
    <CODE KEY="py">154</CODE>
   </BASE2>
  </UI_STATUS>
  <UI_SYNTHESIS>
   <BASE>
    <CODE KEY="cx">562</CODE>
    <CODE KEY="cy">370</CODE>
    <CODE KEY="px">CENTER</CODE>
    <CODE KEY="py">CENTER</CODE>
   </BASE>
   <BASE2>
    <CODE KEY="cx">482</CODE>
    <CODE KEY="cy">370</CODE>
    <CODE KEY="px">CENTER</CODE>
    <CODE KEY="py">CENTER</CODE>
   </BASE2>
  </UI_SYNTHESIS>
  <UI_TRADE>
   <BASE>
    <CODE KEY="cx">431</CODE>
    <CODE KEY="cy">260</CODE>
    <CODE KEY="px">100</CODE>
    <CODE KEY="py">60</CODE>
   </BASE>
  </UI_TRADE>
  <UI_WAREHOUSE>
   <BASE>
    <CODE KEY="cx">520</CODE>
    <CODE KEY="cy">282</CODE>
    <CODE KEY="px">150</CODE>
    <CODE KEY="py">64</CODE>
   </BASE>
  </UI_WAREHOUSE>
  <UI_WAREHOUSE_SEND>
   <BASE>
    <CODE KEY="px">342</CODE>
    <CODE KEY="py">64</CODE>
    <CODE KEY="cx">240</CODE>
    <CODE KEY="cy">400</CODE>
   </BASE>
   <OKBTN>
    <CODE KEY="px">64</CODE>
    <CODE KEY="py">370</CODE>
    <CODE KEY="cx">56</CODE>
    <CODE KEY="cy">16</CODE>
   </OKBTN>
   <CANCELBTN>
    <CODE KEY="px">122</CODE>
    <CODE KEY="py">370</CODE>
    <CODE KEY="cx">56</CODE>
    <CODE KEY="cy">16</CODE>
   </CANCELBTN>
   <SCBAR_ITEMLIST>
    <CODE KEY="px">207</CODE>
    <CODE KEY="py">50</CODE>
    <CODE KEY="cx">16</CODE>
    <CODE KEY="cy">215</CODE>
   </SCBAR_ITEMLIST>
   <SCBAR_PLACELIST>
    <CODE KEY="px">207</CODE>
    <CODE KEY="py">281</CODE>
    <CODE KEY="cx">16</CODE>
    <CODE KEY="cy">75</CODE>
   </SCBAR_PLACELIST>
   <ICONS>
    <CODE KEY="px">22</CODE>
    <CODE KEY="py">50</CODE>
    <CODE KEY="cx">36</CODE>
    <CODE KEY="cy">36</CODE>
   </ICONS>
   <CURRENTSTC>
    <CODE KEY="px">10</CODE>
    <CODE KEY="py">25</CODE>
    <CODE KEY="cx">220</CODE>
    <CODE KEY="cy">18</CODE>
   </CURRENTSTC>
   <PLACELIST>
    <CODE KEY="px">22</CODE>
    <CODE KEY="py">285</CODE>
    <CODE KEY="cx">180</CODE>
    <CODE KEY="cy">68</CODE>
   </PLACELIST>
  </UI_WAREHOUSE_SEND>
  <UI_WHISPER>
   <BASE>
    <CODE KEY="cx">360</CODE>
    <CODE KEY="cy">130</CODE>
    <CODE KEY="px">342</CODE>
    <CODE KEY="py">64</CODE>
   </BASE>
   <PARAM>
    <CODE KEY="cy_min">130</CODE>
    <CODE KEY="cy_max">390</CODE>
   </PARAM>
  </UI_WHISPER>
  <UI_THEATER>
   <BASE>
    <CODE KEY="cx">462</CODE>
    <CODE KEY="cy">198</CODE>
    <CODE KEY="px">CENTER</CODE>
    <CODE KEY="py">CENTER</CODE>
   </BASE>
  </UI_THEATER>
  <UI_STALL_SET>
   <BASE>
    <CODE KEY="cx">506</CODE>
    <CODE KEY="cy">301</CODE>
    <CODE KEY="px">120</CODE>
    <CODE KEY="py">100</CODE>
    <CODE KEY="cx_min">506</CODE>
    <CODE KEY="cx_max">600</CODE>
    <CODE KEY="cy_min">301</CODE>
    <CODE KEY="cy_max">500</CODE>
    <CODE KEY="vline_x">205</CODE>
   </BASE>
   <TABCTRL>
    <CODE KEY="px">1</CODE>
    <CODE KEY="py">24</CODE>
    <CODE KEY="cx">204</CODE>
    <CODE KEY="cy">96</CODE>
   </TABCTRL>
   <PRICEEDIT>
    <CODE KEY="px">294</CODE>
    <CODE KEY="py">44</CODE>
    <CODE KEY="cx">104</CODE>
    <CODE KEY="cy">16</CODE>
   </PRICEEDIT>
   <ITEMNAME>
    <CODE KEY="px">49</CODE>
    <CODE KEY="py">23</CODE>
    <CODE KEY="cx">224</CODE>
    <CODE KEY="cy">18</CODE>
   </ITEMNAME>
   <COMMENT>
    <CODE KEY="px">10</CODE>
    <CODE KEY="py">225</CODE>
    <CODE KEY="cx">187</CODE>
    <CODE KEY="cy">45</CODE>
   </COMMENT>
   <HILOW>
    <CODE KEY="px">98</CODE>
    <CODE KEY="py">180</CODE>
    <CODE KEY="cx">98</CODE>
    <CODE KEY="cy">16</CODE>
   </HILOW>
   <L_SC>
    <CODE KEY="px">189</CODE>
    <CODE KEY="py">50</CODE>
    <CODE KEY="cy">73</CODE>
   </L_SC>
   <OKBTN>
    <CODE KEY="px">40</CODE>
    <CODE KEY="py">276</CODE>
    <CODE KEY="frombottom">25</CODE>
   </OKBTN>
   <CANCELBTN>
    <CODE KEY="px">124</CODE>
    <CODE KEY="py">276</CODE>
    <CODE KEY="frombottom">25</CODE>
   </CANCELBTN>
   <CHKBOX>
    <CODE KEY="px">186</CODE>
    <CODE KEY="py">126</CODE>
    <CODE KEY="cx">10</CODE>
    <CODE KEY="cy">10</CODE>
   </CHKBOX>
   <L_ICONS>
    <CODE KEY="px">9</CODE>
    <CODE KEY="py">51</CODE>
   </L_ICONS>
   <R_ICONS>
    <CODE KEY="px">214</CODE>
    <CODE KEY="py">24</CODE>
   </R_ICONS>
   <R_SC>
    <CODE KEY="py">24</CODE>
    <CODE KEY="fromright">20</CODE>
    <CODE KEY="frombottom">11</CODE>
   </R_SC>
   <HLINE>
    <CODE KEY="py">131</CODE>
   </HLINE>
   <PRICEPIC>
    <CODE KEY="px">267</CODE>
    <CODE KEY="py">46</CODE>
   </PRICEPIC>
   <NUMPIC>
    <CODE KEY="py">46</CODE>
    <CODE KEY="fromright">98</CODE>
   </NUMPIC>
   <SELLKINDNUM>
    <CODE KEY="px">98</CODE>
    <CODE KEY="py">140</CODE>
    <CODE KEY="cx">98</CODE>
    <CODE KEY="cy">16</CODE>
   </SELLKINDNUM>
   <TOTALSELLPRICE>
    <CODE KEY="px">98</CODE>
    <CODE KEY="py">160</CODE>
    <CODE KEY="cx">98</CODE>
    <CODE KEY="cy">16</CODE>
   </TOTALSELLPRICE>
   <SELLNUM>
    <CODE KEY="py">44</CODE>
    <CODE KEY="cx">28</CODE>
    <CODE KEY="cy">16</CODE>
    <CODE KEY="fromright">71</CODE>
   </SELLNUM>
   <L_TEXTS>
    <CODE KEY="px">9</CODE>
    <CODE KEY="py">142</CODE>
    <CODE KEY="cx">187</CODE>
    <CODE KEY="cy">16</CODE>
   </L_TEXTS>
   <SELLNUMSTR>
    <CODE KEY="py">47</CODE>
    <CODE KEY="cx">22</CODE>
    <CODE KEY="cy">12</CODE>
    <CODE KEY="fromright">68</CODE>
   </SELLNUMSTR>
  </UI_STALL_SET>
  <UI_STALL_SELL>
   <BASE>
    <CODE KEY="px">120</CODE>
    <CODE KEY="py">100</CODE>
    <CODE KEY="cx">516</CODE>
    <CODE KEY="cy">312</CODE>
    <CODE KEY="cx_min">516</CODE>
    <CODE KEY="cx_max">600</CODE>
    <CODE KEY="cy_min">312</CODE>
    <CODE KEY="cy_max">500</CODE>
    <CODE KEY="vline_x">215</CODE>
    <CODE KEY="listofs_y">69</CODE>
    <CODE KEY="listofs_y2">46</CODE>
   </BASE>
   <TABCTRL>
    <CODE KEY="px">0</CODE>
    <CODE KEY="py">24</CODE>
   </TABCTRL>
   <L_SC>
    <CODE KEY="px">192</CODE>
    <CODE KEY="py">51</CODE>
    <CODE KEY="cy">72</CODE>
   </L_SC>
   <OKBTN>
    <CODE KEY="px">33</CODE>
    <CODE KEY="py">290</CODE>
    <CODE KEY="frombottom">22</CODE>
   </OKBTN>
   <CANCELBTN>
    <CODE KEY="px">117</CODE>
    <CODE KEY="py">290</CODE>
    <CODE KEY="frombottom">22</CODE>
   </CANCELBTN>
   <L_ICONS>
    <CODE KEY="px">9</CODE>
    <CODE KEY="py">51</CODE>
   </L_ICONS>
   <R_ICONS>
    <CODE KEY="px">224</CODE>
    <CODE KEY="py">28</CODE>
   </R_ICONS>
   <CANEQUIPIMG>
    <CODE KEY="px">53</CODE>
    <CODE KEY="py">72</CODE>
    <CODE KEY="cx">66</CODE>
    <CODE KEY="cy">14</CODE>
   </CANEQUIPIMG>
   <TRYBTN>
    <CODE KEY="px">125</CODE>
    <CODE KEY="py">72</CODE>
    <CODE KEY="cx">63</CODE>
    <CODE KEY="cy">18</CODE>
   </TRYBTN>
   <R_SC>
    <CODE KEY="py">24</CODE>
    <CODE KEY="fromright">20</CODE>
    <CODE KEY="frombottom">11</CODE>
   </R_SC>
   <ITEMNAME>
    <CODE KEY="px">49</CODE>
    <CODE KEY="py">25</CODE>
    <CODE KEY="cx">224</CODE>
    <CODE KEY="cy">18</CODE>
   </ITEMNAME>
   <HLINE>
    <CODE KEY="py">131</CODE>
   </HLINE>
   <PRICEPIC>
    <CODE KEY="px">277</CODE>
    <CODE KEY="py">51</CODE>
   </PRICEPIC>
   <NUMPIC>
    <CODE KEY="py">51</CODE>
    <CODE KEY="fromright">99</CODE>
   </NUMPIC>
   <L_TEXTS>
    <CODE KEY="px">9</CODE>
    <CODE KEY="py">142</CODE>
   </L_TEXTS>
   <NUMFRAME>
    <CODE KEY="py">51</CODE>
    <CODE KEY="cx">27</CODE>
    <CODE KEY="cy">16</CODE>
    <CODE KEY="fromright">71</CODE>
   </NUMFRAME>
   <PRICEFRAME>
    <CODE KEY="px">304</CODE>
    <CODE KEY="py">51</CODE>
    <CODE KEY="cy">16</CODE>
    <CODE KEY="fromright">107</CODE>
   </PRICEFRAME>
   <L_FRAMES>
    <CODE KEY="px">108</CODE>
    <CODE KEY="py">140</CODE>
    <CODE KEY="cx">98</CODE>
    <CODE KEY="cy">16</CODE>
   </L_FRAMES>
   <COMMENTFRAME>
    <CODE KEY="px">18</CODE>
    <CODE KEY="py">242</CODE>
    <CODE KEY="cx">186</CODE>
    <CODE KEY="cy">43</CODE>
   </COMMENTFRAME>
   <COMMENTSTR>
    <CODE KEY="px">22</CODE>
    <CODE KEY="py">245</CODE>
    <CODE KEY="cx">178</CODE>
    <CODE KEY="cy">55</CODE>
   </COMMENTSTR>
   <PRICESTR>
    <CODE KEY="px">314</CODE>
    <CODE KEY="py">55</CODE>
    <CODE KEY="cy">16</CODE>
    <CODE KEY="fromright">108</CODE>
   </PRICESTR>
   <NUMSTR>
    <CODE KEY="py">55</CODE>
    <CODE KEY="cx">27</CODE>
    <CODE KEY="cy">16</CODE>
    <CODE KEY="fromright">67</CODE>
   </NUMSTR>
   <BUYPRICESTR>
    <CODE KEY="px">110</CODE>
    <CODE KEY="py">142</CODE>
    <CODE KEY="cx">91</CODE>
    <CODE KEY="cy">14</CODE>
   </BUYPRICESTR>
   <PAYCAPSTR>
    <CODE KEY="px">145</CODE>
    <CODE KEY="py">182</CODE>
    <CODE KEY="cx">60</CODE>
    <CODE KEY="cy">20</CODE>
   </PAYCAPSTR>
  </UI_STALL_SELL>
  <UI_SHORTCUT>
   <BASE>
    <CODE KEY="px">230</CODE>
    <CODE KEY="py">18</CODE>
    <CODE KEY="cx">400</CODE>
    <CODE KEY="cy">32</CODE>
   </BASE>
   <BASE2>
    <CODE KEY="cx">400</CODE>
    <CODE KEY="cy">28</CODE>
   </BASE2>
  </UI_SHORTCUT>
  <UI_PET_REPAIR>
   <BASE>
    <CODE KEY="cx">280</CODE>
    <CODE KEY="cy">325</CODE>
    <CODE KEY="px">CENTER</CODE>
    <CODE KEY="py">CENTER</CODE>
   </BASE>
  </UI_PET_REPAIR>
  <UI_REPAIR>
   <BASE>
    <CODE KEY="cx">200</CODE>
    <CODE KEY="cy">340</CODE>
    <CODE KEY="px">CENTER</CODE>
    <CODE KEY="py">CENTER</CODE>
   </BASE>
  </UI_REPAIR>
  <UI_REINFORCE>
   <BASE>
    <CODE KEY="cx">400</CODE>
    <CODE KEY="cy">320</CODE>
    <CODE KEY="px">CENTER</CODE>
    <CODE KEY="py">CENTER</CODE>
   </BASE>
  </UI_REINFORCE>
  <UI_REINFORCE_LIST>
   <BASE>
    <CODE KEY="cx">320</CODE>
    <CODE KEY="cy">295</CODE>
    <CODE KEY="px">CENTER</CODE>
    <CODE KEY="py">CENTER</CODE>
   </BASE>
   <OKBTN>
    <CODE KEY="px">100</CODE>
   </OKBTN>
   <CANCELBTN>
    <CODE KEY="px">200</CODE>
   </CANCELBTN>
  </UI_REINFORCE_LIST>
  <UI_RECRUIT_COMMENT_SET>
   <BASE>
    <CODE KEY="cx">241</CODE>
    <CODE KEY="cy">141</CODE>
    <CODE KEY="px">5</CODE>
    <CODE KEY="py">50</CODE>
   </BASE>
   <OKBTN>
    <CODE KEY="px">55</CODE>
    <CODE KEY="py">116</CODE>
    <CODE KEY="cx">56</CODE>
    <CODE KEY="cy">16</CODE>
   </OKBTN>
   <CANCELBTN>
    <CODE KEY="px">140</CODE>
