#LV,cexp,cexp2,jexp,jexp2,jexp3,dualjexp
1,0,0,0,0,0,0
2,55,165,55,318,951,125000000
3,155,465,155,781,2343,251250000
4,346,1038,346,1591,4773,378762500
5,672,2016,672,2738,8214,507550125
6,1161,3483,1161,4922,14766,637625626
7,1827,5481,1827,8428,25284,769652260
8,2698,8094,2698,13241,39723,903659293
9,4003,12009,4003,20786,62358,1039676432
10,5627,16881,5627,33614,100842,1177733828
11,7690,23070,7690,53794,165418,1317862085
12,10251,30753,10251,78757,245299,1461493548
13,13471,40413,13471,109167,327507,1608715798
14,17596,52788,17596,153165,459501,1759618604
15,22898,68694,22898,218820,656466,1914293980
16,29749,89247,29749,311355,934071,2072836241
17,39175,114525,38175,421595,1286839,2237720192
18,48515,145545,48515,549872,1697325,2409199501
19,60916,182748,60916,722113,2248497,2587537982
20,75317,225951,75317,963076,3019579,2773010003
21,92171,276513,92171,1283007,4139337,2965900905
22,111801,335403,111801,1647255,5414207,3170365261
23,134536,403608,134536,2064305,6873883,3387097478
24,160711,482133,160711,2602489,8757527,3616833628
25,190667,572001,190667,3308366,11228097,3860353947
26,224851,674553,224851,4216215,14405570,4118485485
27,263716,791158,263716,5203149,17859840,4395976888
28,307721,923163,307721,6268614,21588970,4694280147
29,357331,1071993,357331,7567211,26134060,5014956150
30,413117,1239351,413117,9164498,31724566,5359682853
31,475656,1426968,475656,11084504,39020590,5730264059
32,545631,1636893,545631,13142017,46839140,6123080137
33,623731,1871193,623731,15341788,55198270,6539465180
34,711151,2133453,711151,17971772,65192210,6980833326
35,809092,2528286,809092,21128036,77186014,7448683560
36,918761,2756283,918761,24843996,91306664,7944604809
37,1041371,3124113,1041371,28794599,106318956,8470281332
38,1178141,3534423,1178141,32987009,122250114,9027498447
39,1330296,3990888,1330296,37921295,141000402,9618148589
40,1499067,4497202,1499067,43729653,163072162,10244237739
41,1685691,5057074,1685691,50555650,189976152,10907892238
42,1891411,5674234,1891411,57661789,218400712,11608047735
43,2117476,6352429,2117476,66407958,253385392,12346711784
44,2365141,7095424,2365141,76567946,294025352,13126002356
45,2635667,7907002,2635667,88766391,342819132,13948153909
46,2930321,8790964,2930321,102664361,398411032,14815523798
47,3250376,9751129,3250376,119057100,463981988,15730599031
48,3597111,10791334,3597111,136225254,532654604,16696003401
49,3971811,11915434,3971811,158165559,620415844,17714505012
50,4375772,13127317,4375772,181128184,712266344,18789024211
51,4810301,14430905,0,0,0,19922641966
52,5276716,15923435,0,0,0,21112940609
53,5776346,17522251,0,0,0,22362754184
54,6310531,19234646,0,0,0,23675058438
55,5880622,21055941,0,0,0,25052977905
56,7487987,22999491,0,0,0,26499793345
57,8133981,25066691,0,0,0,28018949557
58,8820006,27261971,0,0,0,29614063580
59,9547451,29589795,0,0,0,31288933304
60,10317762,32054791,0,0,0,33047546514
61,11132436,34906151,0,0,0,34894090384
62,11993021,37918199,0,0,0,36823728728
63,12901116,41096533,0,0,0,38840200798
64,13858371,44446925,0,0,0,40947414111
65,14866487,47975331,0,0,0,43149452023
66,15927216,51687883,0,0,0,45450581641
67,17042361,55590891,0,0,0,47855262092
68,18213776,59690745,0,0,0,50368153163
69,19443776,63994411,0,0,0,52994124333
70,20733537,68510009,0,0,0,55738264205
71,22087196,73257816,0,0,0,58605890371
72,23507751,78219758,0,0,0,61596824463
73,24999111,83439518,0,0,0,64716368721
74,26565686,88922531,0,0,0,67970053382
75,28212387,94685984,0,0,0,71363646483
76,29944626,101268492,0,0,0,74903164087
77,31768316,108198514,0,0,0,78594880948
78,33689871,115500423,0,0,0,82445341634
79,35716206,123200496,0,0,0,86461372130
80,37859237,131344014,0,0,0,90650091937
81,40135881,139995261,0,0,0,95014737976
82,42568056,149237527,0,0,0,99562699149
83,45182681,159173103,0,0,0,104301674691
84,48011676,169923284,0,0,0,109239687206 
85,51091962,181628372,0,0,0,114385096246 
86,54465461,194447668,0,0,0,119746612466 
87,58179096,208559481,0,0,0,125295781754 
88,62284791,224161122,0,0,0,131039171967 
89,66839471,141468906,0,0,0,136983580837 
90,71950062,161911270,0,0,0,143136044018 
91,77773491,285204986,0,0,0,149503843410 
92,84516686,312177786,0,0,0,155998998790 
93,92436576,343857386,0,0,0,162624057278 
94,101840091,381471486,0,0,0,169381616935 
95,113084162,426447770,0,0,0,176274327786 
96,126575721,480414006,0,0,0,183304892854 
97,142771701,545198006,0,0,0,190440916398 
98,166303231,639324206,0,0,0,197683980295 
99,196980262,762032330,0,0,0,205035690150 
100,244359412,951548930,0,0,0,212497675653 
101,364054585,1310634450,0,0,0,220071590939 
102,513749758,1684872450,0,0,0,228402897753 
103,723444931,2104262850,0,0,0,236775861101 
104,948867242,2532565250,0,0,0,245190689266 
105,1191196226,2968757450,0,0,0,253647591572 
106,1451699884,3411613670,0,0,0,262146778389 
107,1731741316,3859679970,0,0,0,271495883888 
108,2032785856,4311246780,0,0,0,280891734914 
109,2356408736,4764318880,0,0,0,290334565196 
110,2704303332,5268766044,0,0,0,300721678506 
111,3077932048,5792347444,0,0,0,311628147481 
