#ItemID,ItemName,HP,,MP,,SP,,负重,,体积,,STR,,DEX,,INT,,VIT,,AGI,,MAG,,ATK1（打）,,ATK2（斩）,,ATK3（射）,,MATK,,DEF(+),,MDEF(+),,SHIT,,LHIT,,MagicHit,,SAVOID,,LAVOID,,MAVOID（魔法抵抗）,,Cri,,Criavoid,,无,,光,,暗,,地,,水,,火,,凤,
#细项,N/A,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max
#N/A,短剣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60021701,ブラッディオーガキラー,-498,45,0,0,-198,46,0,0,0,0,0,0,-1,1,0,0,-1,2,-2,1,0,0,0,31,0,22,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60012700,【真】ジャンビーヤ,0,148,0,0,0,0,0,0,0,0,-1,2,-2,2,0,0,-3,3,-4,1,-1,0,45,50,85,130,70,90,0,0,0,0,0,0,5,15,0,0,0,0,-10,0,-10,0,0,0,0,40,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,片手剣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60025601,黒刀?竜胆,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,両手剣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60027302,クレイモア,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011204,カタナ（赤紫）,58,562,0,0,0,0,0,0,0,0,-1,5,0,0,0,0,0,0,-8,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,4,9,0,0,0,0,-4,0,-4,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011206,カタナ（紫）,50,145,0,0,0,0,0,0,0,0,-2,4,0,0,0,5,0,0,0,0,-2,0,0,0,-3,56,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60011205,カタナ（青）,50,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,5,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60012800,【真】ブロードソード,0,0,50,200,0,0,0,0,0,0,-3,2,-3,2,-2,2,-2,0,0,0,-1,3,40,45,110,130,50,60,50,70,0,0,0,0,-5,5,-5,5,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,レイピア,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60022404,ヴィリーレム,-448,35,0,0,-114,50,0,0,0,0,0,0,0,0,-1,2,-1,1,-1,1,0,0,0,14,0,36,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60012900,【真】フルーレ,0,0,51,143,0,0,0,0,0,0,-2,2,0,0,0,0,-1,2,-2,0,-3,4,20,30,35,40,70,118,65,90,2,12,2,12,0,0,0,0,-5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,片手槍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60063600,クォーツスピア,-465,113,0,0,-406,119,0,0,0,0,-2,3,0,0,0,0,-1,3,-1,2,0,0,0,20,0,39,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#N/A,両手槍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
