#アイテムの入れ替え管理とチョイス文によるアイテム変更管理ファイル,
#,
#,
#選択アイテム設定,,,変更後に入手するアイテム設定,,,,,,,,,,,,,,,,ウインドウの表示設定,備考,
#選択番号,戻し可否,元アイテムID,アイテムID1,アイテムID2,アイテムID3,アイテムID4,アイテムID5,アイテムID6,アイテムID7,アイテムID8,アイテムID9,アイテムID10,アイテムID11,アイテムID12,アイテムID13,アイテムID14,アイテムID15,アイテムID16,種類,元アイテム名,アイテム名1,アイテム名2,アイテム名3,アイテム名4,アイテム名5,アイテム名6,アイテム名7,アイテム名8,アイテム名9,アイテム名10,アイテム名11,アイテム名12,アイテム名13,アイテム名14,アイテム名15,アイテム名16,
# 染色娘,
1,1,60133000,60133001,60133002,60133003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,妖精のドレス（若草）,妖精のドレス（菖蒲）,妖精のドレス（山吹）,妖精のドレス（桔梗）,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,50219200,50219201,50219202,50219203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,妖精のブーツ（若草）,妖精のブーツ（菖蒲）,妖精のブーツ（山吹）,妖精のブーツ（桔梗）,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,60133800,60133801,60133802,60133803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,薔薇のドレス♀（白）,薔薇のドレス♀（赤）,薔薇のドレス♀（青）,薔薇のドレス♀（黒）,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,60133900,60133901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,紳士のフロックコート（ローズ）,紳士のフロックコート（セピア）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,60134000,60134001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,淑女のワンピース♀（ローズ）,淑女のワンピース♀（セピア）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,31164900,31164901,31164902,31164903,31164904,31164905,31164906,31164907,31164908,0,0,0,0,0,0,0,0,0,ガーデンジョウロ（緑色）,ガーデンジョウロ（水色）,ガーデンジョウロ（赤色）,ガーデンジョウロ（灰色）,ガーデンジョウロ（茶色）,ガーデンジョウロ（黄色）,ガーデンジョウロ（ピンク色）,ガーデンジョウロ（白色）,ガーデンジョウロ（山吹色）,0,0,0,0,0,0,0,0,
1,1,60134100,60134101,60134102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,全身着ぐるみ（ピーマン）,全身着ぐるみ（赤ピーマン）,全身着ぐるみ（パプリカ）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,60135300,60135301,60135302,60135303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,さざなみのワンピース♀（ピンク）,さざなみのワンピース♀（緑）,さざなみのワンピース♀（青）,さざなみのワンピース♀（黄）,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,50219600,50219601,50219602,50219603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,さざなみのサンダル（ピンク）,さざなみのサンダル（緑）,さざなみのサンダル（青）,さざなみのサンダル（黄）,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,60135500,60135501,60135502,60135503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ゴーストワンピース♀（黒）,ゴーストワンピース♀（黒レース）,ゴーストワンピース♀（白）,ゴーストワンピース♀（白レース）,0,0,0,0,0,0,0,0,0,0,0,0,0,
