#,,,,,,,,,,,,,,
#アイテム設定,,家具のクライアント表示設定,家具設定,倉庫容量,靜止MotionID,使用MotionID,,,,,,,,
#ITEMID,NAME,PICTID,ＥＶＥＮＴＩＤ,タンス枠数,DEFAULTMOTION,Motion1,Motion2,Motion3,Motion4,Motion5,Motion6,Motion7,Motion8,REMARK
31000000,記憶の書架（白）,41000000,31070000,0,111,622,,,,,,,,
31000001,記憶の書架（茶）,41000001,31070000,0,111,622,,,,,,,,
31000002,記憶の書架（黒）,41000002,31070000,0,111,622,,,,,,,,
31000100,思い出のキャンバス（赤）,41000100,31080000,0,111,,,,,,,,,
31000101,思い出のキャンバス（青）,41000101,31080000,0,111,,,,,,,,,
31070000,かがり火,41070000,31070000,0,111,622,,,,,,,,燈
31070001,かがり火（銀）,41070001,31070000,0,111,622,,,,,,,,燈
31070002,かがり火（緑）,41070002,31070000,0,111,622,,,,,,,,燈
31070100,ガスランプ,41070100,31070000,0,111,622,,,,,,,,燈
31070101,ガスランプ（赤）,41070101,31070000,0,111,622,,,,,,,,燈
31070102,ガスランプ（黄）,41070102,31070000,0,111,622,,,,,,,,燈
31070200,りっぱなガスランプ,41070200,31070000,0,111,622,,,,,,,,燈
31070201,りっぱなガスランプ（銀）,41070201,31070000,0,111,622,,,,,,,,燈
31070202,りっぱなガスランプ（茶）,41070202,31070000,0,111,622,,,,,,,,燈
31070300,電気ランプ,41070300,31070000,0,111,622,,,,,,,,燈
31070301,電気ランプ（銀）,41070301,31070000,0,111,622,,,,,,,,燈
31070302,電気ランプ（茶）,41070302,31070000,0,111,622,,,,,,,,燈
31070400,巻貝の街灯,41070400,31070000,0,111,622,,,,,,,,燈
31070500,浪漫のガス燈,41070500,31070000,0,111,622,,,,,,,,燈
31070501,浪漫のガス燈☆,41070501,31070000,0,111,622,,,,,,,,燈
31070550,浪漫のガス燈（茶）,41070550,31070000,0,111,622,,,,,,,,燈
31070502,浪漫のガス燈（赤）,41070502,31070000,0,111,622,,,,,,,,燈
31070600,すずらんランプ,41070600,31070000,0,111,622,,,,,,,,燈
31070700,５連提灯,41070700,31070000,0,111,622,,,,,,,,燈
31070800,おしゃれな街燈,41070800,31070000,0,111,622,,,,,,,,燈
31070900,ヴァーチャルディスプレイ,41070900,31070000,0,111,622,,,,,,,,燈
31071000,スイートムーンランプ,41071000,31071000,0,111,622,,,,,,,,燈
31071100,ムーディーライト,41071100,31071100,0,111,622,,,,,,,,燈
31071200,Bloodゴシックキャンドル,41071200,31071200,0,111,622,,,,,,,,燈
31071300,狐の吊るし燈籠（黒）,41071300,31070000,0,111,622,,,,,,,,燈
31071301,狐の吊るし燈籠（朱）,41071301,31070000,0,111,622,,,,,,,,燈
31071350,狐の燈籠（黒）,41071350,31070000,0,111,622,,,,,,,,燈
31071351,狐の燈籠（朱）,41071351,31070000,0,111,622,,,,,,,,燈
31071500,壁掛け燭台（黒）,41071500,31070000,0,111,622,,,,,,,,燈
31071501,壁掛け燭台（紫）,41071501,31070000,0,111,622,,,,,,,,燈
31071600,シルバードクロ,41071600,31070000,0,111,622,,,,,,,,燈
31071700,聖夜の結晶（星）,41071700,31070000,0,111,622,,,,,,,,燈
31071800,聖夜の結晶（雪結晶）,41071800,31070000,0,111,622,,,,,,,,燈
31071900,精霊水晶（緑）,41071900,31070000,0,111,622,,,,,,,,燈
31071901,精霊水晶（青）,41071901,31070000,0,111,622,,,,,,,,燈
31071902,精霊水晶（橙）,41071902,31070000,0,111,622,,,,,,,,燈
31072000,スノーランプ,41072000,31080000,0,111,622,,,,,,,,燈
31072100,ゴシックホラーな街灯（黒）,41072100,31070000,0,111,622,,,,,,,,燈
31072101,ゴシックホラーな街灯（紫）,41072101,31070000,0,111,622,,,,,,,,燈
31072200,５連祭り提灯,41072200,31070000,0,111,622,,,,,,,,燈
31072300,大きな壁掛け燭台（黒）,41072300,31070000,0,111,622,,,,,,,,燈
31072301,大きな壁掛け燭台（金）,41072301,31070000,0,111,622,,,,,,,,燈
31080000,丸太のテーブル,41080000,31080000,0,111,,,,,,,,,
31080001,丸太のテーブル（赤）,41080001,31080000,0,111,,,,,,,,,
31080002,丸太のテーブル（緑）,41080002,31080000,0,111,,,,,,,,,
31080100,ウッディーなテーブル,41080100,31080000,0,111,,,,,,,,,
31080101,ウッディーなテーブル（青）,41080101,31080000,0,111,,,,,,,,,
31080102,ウッディーなテーブル（赤）,41080102,31080000,0,111,,,,,,,,,
31080200,ピクニックテーブル,41080200,31080000,0,111,,,,,,,,,
31080201,ピクニックテーブル（ポップ）,41080201,31080000,0,111,,,,,,,,,
31080202,ピクニックテーブル（シック）,41080202,31080000,0,111,,,,,,,,,
31080300,ローテーブル,41080300,31080000,0,111,,,,,,,,,
31080301,ローテーブル（緑）,41080301,31080000,0,111,,,,,,,,,
31080302,ローテーブル（茶）,41080302,31080000,0,111,,,,,,,,,
31080400,おしゃれなテーブル,41080400,31080000,0,111,,,,,,,,,
31080401,おしゃれなテーブル（青）,41080401,31080000,0,111,,,,,,,,,
31080402,おしゃれなテーブル（タイニー）,41080402,31080000,0,111,,,,,,,,,
31080500,きのこなテーブル,41080500,31080000,0,111,,,,,,,,,
31080600,コタツ,41080600,31080000,0,111,,,,,,,,,
31080700,クリスマステーブルセット,41080700,31080000,0,111,,,,,,,,,
31080750,パラソル付きウッドデッキ,41080750,31080000,0,111,,,,,,,,,
31080751,パラソル付きウッドデッキ（青）,41080751,31080000,0,111,,,,,,,,,
31080752,パラソル付きウッドデッキ（桃）,41080752,31080000,0,111,,,,,,,,,
31080753,パラソル付きウッドデッキ（黄）,41080753,31080000,0,111,,,,,,,,,
31080754,パラソル付きウッドデッキ（緑）,41080754,31080000,0,111,,,,,,,,,
31080800,パンダ机,41080800,31080000,0,111,,,,,,,,,
31081000,浪漫のちゃぶ台,41081000,31070000,0,111,621,622,,,,,,,
31081001,浪漫のちゃぶ台☆,41081001,31070000,0,111,621,622,,,,,,,
31081100,会議テーブル,41081100,31070000,0,111,622,,,,,,,,
31081300,テーブルアクアリウム,41081300,31080000,0,111,,,,,,,,,
31081400,おかしなパーティーテーブル（白）,41081400,31070000,0,111,622,,,,,,,,
31081401,おかしなパーティーテーブル（赤）,41081401,31070000,0,111,622,,,,,,,,
31081402,おかしなパーティーテーブル（青）,41081402,31070000,0,111,622,,,,,,,,
31081403,おかしなパーティーテーブル（黄）,41081403,31070000,0,111,622,,,,,,,,
31081500,長机,41081500,31080000,0,111,,,,,,,,,
31081600,応接机,41081600,31080000,0,111,,,,,,,,,
31081700,占い机,41081700,31080000,0,111,,,,,,,,,
31081800,アンテペンディウムの机（茶・燭台）,41081800,31080000,0,111,,,,,,,,,
