#髪型設定ファイル,,,,,,,,,
#アイテムの髪設定,,,,,ウィンドウ表示メッセージ,,,,
#アイテムID,性別,髪型ID,髪型オプションID,管理グループ,髪型名,オプション名,髪型変更前NPCセリフ,髪型変更後NPCセリフ,備考
10020750,1,5,19,0,ヘアサロンの特別な髪型,ポニーテール,わぁ～お♪$R君は『ヘアサロン特別紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ヘアサロン特別紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ヘアサロンの特別紹介状
10020750,1,5,8,1,ヘアサロンの特別な髪型,ツインテール,わぁ～お♪$R君は『ヘアサロン特別紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は僕にとって$R特別な特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ヘアサロン特別紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ヘアサロンの特別紹介状
10020708,1,6,6,0,１つに結んでください,なし,わぁ～お♪$R君は『ヘアサロンの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は$R特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ヘアサロンの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ヘアサロンの紹介状
10020708,1,5,1,1,アップで三つ編みにしてください,なし,わぁ～お♪$R君は『ヘアサロンの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は$R特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ヘアサロンの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ヘアサロンの紹介状
10020708,1,6,0,2,三つ編みにしてください,なし,わぁ～お♪$R君は『ヘアサロンの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は$R特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ヘアサロンの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ヘアサロンの紹介状
10020708,1,5,13,3,アップできつく三つ編みにしてください,なし,わぁ～お♪$R君は『ヘアサロンの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は$R特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ヘアサロンの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ヘアサロンの紹介状
10020708,1,6,12,4,きつく三つ編みにしてください,なし,わぁ～お♪$R君は『ヘアサロンの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は$R特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ヘアサロンの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ヘアサロンの紹介状
10020708,1,5,10,5,アップで結んでゴムでまとめてください,なし,わぁ～お♪$R君は『ヘアサロンの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は$R特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ヘアサロンの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ヘアサロンの紹介状
10020708,1,6,9,6,結んでゴムでまとめてください,なし,わぁ～お♪$R君は『ヘアサロンの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は$R特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ヘアサロンの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ヘアサロンの紹介状
10020708,1,5,16,7,アップでお団子にしてください,なし,わぁ～お♪$R君は『ヘアサロンの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は$R特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ヘアサロンの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ヘアサロンの紹介状
10020708,1,6,15,8,お団子にしてください,なし,わぁ～お♪$R君は『ヘアサロンの紹介状』を$R持っているのかい！？$R$R$Rじゃあ君は$R特別なお客様だよ！$R$R$R僕のとっておきのテクニックで$R君の髪にスペシャルでフェミニンな$Rセットをしてあげる！$R$R$Rどうだい？$R『ヘアサロンの紹介状』を使って$R君の髪をセットしてみるかい？,さあ！できたよ。$R$Rおっ！いいよ～$Rとても似合っているよ！$Rまたおいでよ。,ヘアサロンの紹介状
