#カード情報,,,,,,ホルダー,,レア,アセンブル,,,装着可能,,,属性増加量,,,,,,,アビリティベクトル,,,,,,限定条件,,,,,,カード分類,,,,,,,,,,テキスト,,
#カードID,pictID,枠種別,カード名,種別ID,カードNo,ページ,順,レア度,元カードID,後カードID,回数,武,服,胸,無,火,水,風,土,光,闇,ID（1）,値（1）,ID（2）,値（2）,ID（3）,値（3）,ID（1）,値（1）,ID（2）,値（2）,ID（3）,値（3）,分類ID（1）,分類ID（2）,分類ID（3）,分類ID（4）,分類ID（5）,分類ID（6）,分類ID（7）,分類ID（8）,分類ID（9）,分類ID（10）,限定条件,フレーバーテキスト,イラストレーター名
#70000000,70000000,0,テスト,ACTIVE,AC00-0000,0,0,4,0,0,0,1,1,0,0,10,10,10,10,10,10,1,50,2,50,3,50,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,-,仮,仮
70000001,70000001,1,君と僕のイリス,ACTIVE,AC00-0001,2001,0,5,70000001,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,「ええと、どっちだっけ？」$R「やれやれ、困ったものだ」$R「大体お前がテキトーで……」$R「文句言わなかったじゃない」$R「まぁまぁ、落ち着いて……」$R「さぁ、早く行こうよ！」$R$Rエミルの年代記は、まだ始まっ$Rたばかり。さぁ、僕たちと一緒$Rに冒険の旅に出よう！$R$R$R2009/5/28$Rエクストラアップデート$Rイリス実装記念,関川成人（プロダクション．I.G）
70000002,70000002,1,悠久の楽園,ACTIVE,AC00-0002,2001,1,5,70000002,0,0,1,1,1,0,0,0,0,0,0,0,34,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,「よっしゃ！　海だぜ！」$R「すごぉい、こんなに綺麗！」$R「う～ん、日差しが強いな」$R「きゃっ、水が冷たいですの」$R「よし、夏の準備は万全だね」$R「わーい、みんなで遊ぼ～！」$R「君もこっちに来て……ね？」$R$R夢見る都「ＥＣＯタウン」$Rまだまだ謎多きこの場所へ$R仲間と冒険の旅に出かけよう！$R$RＥＣＯ?第一弾イリスカード$Rコレクションキャンペーン記念$Rプロモーションイリスカード,関川成人（プロダクション．I.G）
70000003,70000003,1,お祭り！タイニー神輿,ACTIVE,AC00-0003,2001,2,5,70000003,0,0,1,1,1,0,0,0,0,0,0,0,35,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,サンタに探偵、ダンプティー$Rベイビーネイティブパイレーツ$R他にも一杯いるけれど、$R君はどれだけわかるかな？$Rぼくらは陽気なぬいぐるみ、$Rタイニーいっぱい夢いっぱい！$R虹の向こうのあの島で、$R君のお呼びを待ってるよ!$R今日は本当にありがとう。$R明日も一緒に遊ぼうね！$R$R$R2009/11/1$RRWC2009& GungHo festival記念$Rプロモーションイリスカード,椎名悠
70000004,70000004,1,三人娘のお出迎え,ACTIVE,AC00-0004,2001,3,5,70000004,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,また会ったわね、久しぶり。$R最近、そっちはどうだった？$Rこちらも色々ありました$Rまた会えたのは嬉しいですの。$R一緒に遊んだあの日の事を、$R……ねぇ、君はまだ覚えてる？$R$R「さよなら、またね」その次は$R「また会ったね」と笑えるね。$Rつもる話もあるけれど……$Rまずは笑顔でご挨拶！$R$R2009/11/13$RＥＣＯ　４ｔｈアニバーサリー$R記念キャンペーン,関川成人（プロダクション．I.G）
70000005,70000005,1,偽りの神と機械の記憶,ACTIVE,AC00-0005,2001,4,5,70000005,0,0,1,1,1,0,0,0,0,0,0,0,45,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,「お前達の力、この程度か」$R「理解不能。ね、戦おうよ？」$R「ちっ、やるしか無い様だな」$R「……でも、あの方達は……」$R「援護する、前は任せたよ」$R「覚悟決めましょうか？」$R「あたしたちが心を開けば……$R本当に、分かり合えるかな？」$R「君達と……話がしたいんだ」$R心をつないで、手を取り合って$Rいつか、一緒に旅をしよう。$R$RＥＣＯ?ＳＡＧＡ１０実装記念$Rチャージでゲットキャンペーン$Rプロモーションイリスカード,関川成人（プロダクション．I.G）
70000006,70000006,1,天空のオープンカフェ,ACTIVE,AC00-0006,2001,5,5,70000006,0,0,1,1,1,0,0,0,0,0,0,0,52,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,いらっしゃいませ。$Rいらっしゃいませ～！$R天空のオープンカフェへ$Rようこそ、お客様。$Rマスターがお客様を出迎え、$R店員のフシギなメイドさんが$R慌しく次の紅茶を準備する。$R$Rここは全国各地の冒険者が集う$R天空のオープンカフェ。$Rアクロポリス上空１０００ｍに$Rあるという不思議なお店。$R$R「ご注文はお決まりですか?」$R「お客様、御用を承ります」,椎名悠
70000007,70000007,1,ＥＣＯカー「プリムラ」,ACTIVE,AC00-0007,2001,6,5,70000007,0,0,1,1,1,0,0,0,0,0,0,0,59,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,次元の狭間に飛び込んで$R八等身になったタイニーが$R乗り込むクルマの$R最高速度は時速３キロ。$R荷台のマンドラニンジンたちの$R念じる力で進むという$R究極のＥＣＯカー「プリムラ」$Rちょっとおせっかいな$R妖精「プリムラちゃん」が$Rけっこう適当に$R道案内をしてくれます。$R$R2010/4/1$Rエイプリルフール企画$RＥＣＯカープリムラ発売記念,椎名悠
70000008,70000008,1,あそびにいくヨ！,ACTIVE,AC00-0008,2001,7,5,70000008,0,0,1,1,1,0,0,0,0,0,0,0,60,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,ふらり立ち寄る青い星。$R食料忘れて青息吐息。$R青いお空のその下で……$Rそんなファーストコンタクト！$R$R猫耳、尻尾が魅力です。$Rこれでも、宇宙人なんです。$R共に楽しみ、歌いましょう。$R皆で一緒に遊びましょう。$R君のところへ……$Rあそびにいくヨ！$R$R2010/6/25$Rあそびにいくヨ！×ＥＣＯ$Rコラボレーションイリスカード,
70000009,70000009,1,超キティラー冒険者、見月陽夜子,ACTIVE,AC00-0009,2001,8,5,70000009,0,0,0,0,1,0,0,0,0,0,0,0,70,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,夢の中で、一緒に遊んだ$Rキティちゃんを忘れないように$R裁縫おばさんに作ってもらった$Rキティちゃんのお洋服……$R$R「桃！あんた何一人で$R素敵な服着ちゃってるのよ！$Rあたいにもよこしなさい！」$R$Rルルイエに憧れていた少女は、$R超キティラー冒険者になった。$R$R(C)'76，'10 SANRIO$R(C)'09，'10 SW$Rハローキティといっしょ！,小梅けいと
70000010,70000010,1,メイド?ヒロインズ,ACTIVE,AC00-0010,2001,9,5,70000010,0,0,1,1,1,0,0,0,0,0,0,0,71,200,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,なし,ティタ$R「これがあたしたちオリジナル$Rメイド服ですの！」$Rマーシャ$R「私はバトラーコートよ！$Rたまにはこういうのもいいわ」$Rリリ$R「……かわいい。メイドって$Rこんな感じでいいの？」$Rルルイエ$R「なによこれ……！可愛いけど$R私似合ってるかな……」$R$R$R高品質メイド服 Emily,かわすみ
