# イリスガチャウィンドウリスト設定ファイル,,,,
#ID,番号,弾名,ページ,ITEMID
# 無課金用,,,,
# イリスカード第１弾,,,,
0,0,イリスカード第１弾,2,10067300
0,0,イリスカード第１弾,2,10067310
0,0,イリスカード第１弾,2,10067320
0,0,イリスカード第１弾,2,10067301
0,0,イリスカード第１弾,2,10067302
0,0,イリスカード第１弾,2,10067303
0,0,イリスカード第１弾,2,10067304
# みんつく,,,,
0,1,みんつく,8,10067300
0,1,みんつく,8,10067310
0,1,みんつく,8,10067320
0,1,みんつく,8,10067301
0,1,みんつく,8,10067304
# ４ｔｈアニバーサリー,,,,
0,2,４ｔｈアニバーサリー,6,10067300
0,2,４ｔｈアニバーサリー,6,10067310
0,2,４ｔｈアニバーサリー,6,10067320
0,2,４ｔｈアニバーサリー,6,10067301
0,2,４ｔｈアニバーサリー,6,10067302
0,2,４ｔｈアニバーサリー,6,10067303
0,2,４ｔｈアニバーサリー,6,10067304
# ５ｔｈアニバーサリー,,,,
0,3,５ｔｈアニバーサリー,15,10067300
0,3,５ｔｈアニバーサリー,15,10067310
0,3,５ｔｈアニバーサリー,15,10067320
0,3,５ｔｈアニバーサリー,15,10067301
0,3,５ｔｈアニバーサリー,15,10067302
0,3,５ｔｈアニバーサリー,15,10067303
0,3,５ｔｈアニバーサリー,15,10067304
# ６ｔｈアニバーサリー,,,,
0,4,６ｔｈアニバーサリー,22,10067300
0,4,６ｔｈアニバーサリー,22,10067310
0,4,６ｔｈアニバーサリー,22,10067320
0,4,６ｔｈアニバーサリー,22,10067301
0,4,６ｔｈアニバーサリー,22,10067302
0,4,６ｔｈアニバーサリー,22,10067303
0,4,６ｔｈアニバーサリー,22,10067304
# ７ｔｈアニバーサリー,,,,
0,5,７ｔｈアニバーサリー,28,10067300
0,5,７ｔｈアニバーサリー,28,10067310
0,5,７ｔｈアニバーサリー,28,10067320
0,5,７ｔｈアニバーサリー,28,10067301
0,5,７ｔｈアニバーサリー,28,10067302
0,5,７ｔｈアニバーサリー,28,10067303
0,5,７ｔｈアニバーサリー,28,10067304
# ８ｔｈアニバーサリー,,,,
0,6,８ｔｈアニバーサリー,35,10067300
0,6,８ｔｈアニバーサリー,35,10067310
0,6,８ｔｈアニバーサリー,35,10067320
0,6,８ｔｈアニバーサリー,35,10067301
0,6,８ｔｈアニバーサリー,35,10067302
0,6,８ｔｈアニバーサリー,35,10067303
0,6,８ｔｈアニバーサリー,35,10067304
# ９ｔｈアニバーサリー,,,,
0,7,９ｔｈアニバーサリー,41,10067300
0,7,９ｔｈアニバーサリー,41,10067310
0,7,９ｔｈアニバーサリー,41,10067320
0,7,９ｔｈアニバーサリー,41,10067301
0,7,９ｔｈアニバーサリー,41,10067302
0,7,９ｔｈアニバーサリー,41,10067303
0,7,９ｔｈアニバーサリー,41,10067304
# １０ｔｈアニバーサリー,,,,
0,8,１０ｔｈアニバーサリー,48,10067300
0,8,１０ｔｈアニバーサリー,48,10067310
0,8,１０ｔｈアニバーサリー,48,10067320
0,8,１０ｔｈアニバーサリー,48,10067301
0,8,１０ｔｈアニバーサリー,48,10067302
0,8,１０ｔｈアニバーサリー,48,10067303
0,8,１０ｔｈアニバーサリー,48,10067304
# １１ｔｈアニバーサリー,,,,
0,9,１１ｔｈアニバーサリー,54,10067300
0,9,１１ｔｈアニバーサリー,54,10067310
0,9,１１ｔｈアニバーサリー,54,10067320
0,9,１１ｔｈアニバーサリー,54,10067301
0,9,１１ｔｈアニバーサリー,54,10067302
0,9,１１ｔｈアニバーサリー,54,10067303
0,9,１１ｔｈアニバーサリー,54,10067304
# 課金用,,,,
# 第１弾,,,,
1,0,第１弾,1,16003313
1,0,第１弾,1,16003300
1,0,第１弾,1,16003310
1,0,第１弾,1,16003311
# 第２弾,,,,
1,1,第２弾,3,16003313
1,1,第２弾,3,16003300
1,1,第２弾,3,16003310
1,1,第２弾,3,16003311
# 第３弾 アクエリアンエイジのため、対象から外しています。,,,,
# 第４弾,,,,
1,4,第４弾,5,16003313
1,4,第４弾,5,16003300
1,4,第４弾,5,16003310
1,4,第４弾,5,16003311
# 第５弾,,,,
1,5,第５弾,7,16003313
1,5,第５弾,7,16003300
1,5,第５弾,7,16003310
1,5,第５弾,7,16003311
# 第６弾,,,,
1,6,第６弾,9,16003313
1,6,第６弾,9,16003300
1,6,第６弾,9,16003310
1,6,第６弾,9,16003311
# 第７弾,,,,
1,7,第７弾,10,16003313
1,7,第７弾,10,16003300
1,7,第７弾,10,16003310
1,7,第７弾,10,16003311
# 第８弾,,,,
1,8,第８弾,11,16003313
1,8,第８弾,11,16003300
1,8,第８弾,11,16003310
1,8,第８弾,11,16003311
# 第９弾 ハローキティーと一緒のため、対象から外しています。,,,,
# 第１０弾,,,,
1,10,第１０弾,13,16003313
1,10,第１０弾,13,16003300
