#目前就是这个样子了 图章掉落禁止有数字以外的字符出现! 例如actcube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##,,,,体格,,,特殊情報,,,設定,基本パラメータ,,,,,,,,ステータス,,,,物理攻撃,,,魔法攻撃,,防御力,,,,ダメージ減少,,命中,,,回避,,,クリティカル,,,,攻撃速度,,,属性値,,,,,,,状態異常耐性,,,,,,,,,思考ID(通常）,,,,,,,,,,思考(出現),,思考ID(瀕死),,,,,,,,,,思考(終焉）,,カスタムAIID,,,,,,スキルリスト,,,,,,,,,,,,,,,経験値,,,,ドロップ,ドロップアイテム,,,,,,,,,旅人のメモ,,パーティ
#ID,名前,PICTID,種別ＩＤ,幅,長さ,スケール,飛行,アンデッド,モーションセット番号,LV,腕力,魔力,体力,器用,敏捷,知性,運,魅力,HP,SP,MP,速度,最小,最大,タイプ,最小,最大,物理－,物理％,魔法－,魔法％,物理ダメージ(％),魔法ダメージ(％),近接,遠隔,魔法,近接,遠隔,魔法,発生,回避,回復力,魔回復力,物理,詠唱,射程,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足,混乱,氷結,気絶,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,ID１,確率,ID2,確率,ID3,確率,ID4,確率,ID5,確率,ID,確率,AIID1,確率1,AIID2,確率2,AIID3,確率3,攻撃スキル加算倍率,ＩＤ１,確率,ＩＤ２,確率,ＩＤ３,確率,ＩＤ４,確率,減少HP%分加算スキル,確率,減少HP%分減算スキル,確率,出現時使用スキルID,死亡時使用スキルID,EXP,JOB,WRP,信頼度,ID,アイテムID1,アイテムID2,アイテムID3,アイテムID4,アイテムID5,アイテムID6,アイテムID7,ID8（スタンプ）,ＩＤ8確率,掲載フラグ,解放ID,イベントフラグ
#0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
10000000,皮露露,10000000,PLANT,1,1,1,0,0,0,1,6,1,1,11,10,3,1,1,23,0,0,200,5,7,BLOW,1,1,0,0,0,0,0,0,5,95,10,0,0,200,3,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,10000104,10032800,10001805,10032803,null,10034507,10034508,10050900,0,1,475,0
10000001,PLANT,10000000,PLANT,1,1,1,0,0,0,0,6,1,1,11,10,3,1,1,30,1,1,100,6,1,BLOW,1,1,0,0,0,0,0,0,20,15,1,25,0,1,100,1,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,0,0,0,0,0,0,0,0,0,0,14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3006,100,0,100,3006,100,3006,100,0,0,0,0,0,0,7,10032800,10032800,10032800,10032800,null,10034507,10034508,,0,0,0,0
10000002,小型皮露露,10000000,PLANT,1,1,0.6,0,0,0,0,6,1,1,11,10,3,1,1,21,0,0,200,4,6,BLOW,1,1,0,0,0,0,0,0,4,90,10,0,0,200,1,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,null,null,null,null,null,null,null,,0,0,0,0
10000003,迷你皮露露,10000000,PLANT_NOTOUCH,1,1,0.4,0,0,0,1,6,1,1,11,10,3,1,1,21,0,0,200,4,6,BLOW,1,1,0,0,0,0,0,0,4,90,10,0,0,200,1,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,100,0,0,0,0,0,0,0,0,0,0,49,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,,0,0,0,0
10000004,攻击沙包,10000000,PLANT,1,1,1,0,0,0,10,0,0,0,0,0,0,0,0,9999,1,1,200,50,50,BLOW,1,1,50,50,0,0,0,0,100,100,1,50,0,1,25,1,100,1,300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,null,null,null,null,null,null,null,,0,0,0,0
10000005,ThisIsBOSS,10000000,EVENT_BOSS,1,1,1,0,0,0,1,6,1,1,11,10,3,1,1,30,0,0,200,7,10,BLOW,1,2,0,0,0,0,0,0,16,1,1,1,0,1,1,1,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,null,10032800,10001805,10032803,null,10034507,10034508,,0,0,0,0
10000006,巨型皮露露,10000000,PLANT_BOSS_BSEARCH,1,1,7,0,0,0,28,50,10,50,20,20,20,50,50,10000,999,999,200,55,100,BLOW,50,50,50,30,30,10,0,0,100,100,100,50,0,50,25,1,100,1,200,100,1,0,0,0,0,0,0,0,25,25,25,25,25,50,50,50,10,1,33,14,33,15,34,0,0,0,0,0,0,1,70,14,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7530,50,7548,50,0,0,0,0,0,0,0,0,0,0,1000,1500,0,0,9,P_10001805,P_10001805,P_10032803,P_10032803,P_10032803,P_10034507,10005200,,0,0,0,0
10000007,蓝宝石皮露露,10000000,PLANT_UNITE,1,1,1,0,0,0,10,1,1,1,1,1,1,1,1,1000,0,0,200,5,7,BLOW,1,1,0,0,0,0,0,0,5,95,10,0,0,200,3,1,100,1,200,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10011100,10011100,10011100,10011100,null,10011100,10011100,10050900,0,2,110,0
10000008,ディープルル,10000000,PLANT,1,1,2.5,0,0,0,97,96,32,37,50,80,38,104,77,1000,201,201,151,437,125,BLOW,312,255,377,16,340,45,362,306,489,203,258,466,157,305,138,217,386,397,393,221,109,0,0,0,0,25,0,0,104,47,107,59,101,98,35,91,48,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45555,45634,0,0,5,null,10032800,10032803,10056901,10134900,10134900,null,,0,1,837,0
10000009,アビス·プルル,10000000,PLANT_NOTPTDROPRANGE,1,1,1,0,0,0,110,61,91,75,86,74,10,37,86,1000,201,201,311,294,193,BLOW,487,354,220,20,131,36,373,232,446,408,407,325,432,273,162,401,200,441,146,158,109,0,0,0,0,0,0,0,93,64,66,40,43,106,36,64,109,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,400000,0,0,3,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,P_10150800,0,0,1,1162,0
