#PICTＩＤ,モンスター名,上半身,下半身,靴,顔,髪型,帽子,髪飾り,髪飾り,髪飾り,髪飾り,顔飾り,右すね,肩パット,肩パット,胸アクセサリ,右手,左手,背負い,左すね,右足甲,しっぽ,付け髪,付け髪,付け髪,付け髪,右手,左足甲,左手,腰,腰追加分,SPP,常時エフェクトＩＤ,攻撃エフェクトＩＤ,トレイルエフェクトＩＤ,下半身1,下半身2,下半身3,
#,,,ピース,ピース,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,
#,,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,MRB,SPP,MRB,MRB,MRB,MRB,MRB,MRB,
10000000,プルル,1000_00_00_00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000100,オーカージェリー,1000_00_00_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000200,メイジプルル,1000_00_00_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000300,クール,1000_00_00_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000400,ミルクピッチャー,1000_00_00_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000500,グリーンプルル,1000_00_00_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000700,イエロープルル,1000_00_00_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000800,アンバージェリー,1000_00_00_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000801,ラバープルル,1000_00_00_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
10000900,コールタール,1000_00_00_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,null,null,
