# イベントナビゲーション設定ファイル,,,,,,,,,,,,,#【cl_scriptdata】naviinfo.csvは、N列～ED列まで0を代入,,,,,,,# ナビ不可能条件に設定した項目が対象者と一致すると、ナビ一覧に含まれません。（太字?赤字）,,,,,,,,,# ナビ不可能条件フラグに1を設定した項目が対象者と一致すると、ナビ一覧に含まれません。（太字?赤字）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,# ナビ発生条件フラグに0を設定した項目が対象者と一致すると、ナビ一覧に含まれません。（太字?赤字）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,基本情報,,,,,,,"対象 (WorldMap：マップ表示に必要  NpcMap/NpcID：npc表示に必要  座標X,座標Y：矢印表示に必要)",,,,,クリア条件,,,,クリア報酬,,,ナビ不可能条件,,,ナビ不可能条件(性別),,ナビ不可能条件(種族),,,,ナビ不可能条件フラグ(職業),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ナビ発生条件,,,,,ナビ発生条件フラグ(職業),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ナビ内容,,,,備考
# ナビID,カテゴリ,イベント,項目,難易度,ヒントイベントID,進行度,完了,WorldMap,NpcMap,NpcID,座標X,座標Y,クリア条件Flag,レベル,職業レベル,Fame,報酬済Flag,アイテムID,Gold,クリア済みFlag1,クリア済みFlag2,クリア済みFlag3,男,女,エミル,タイタニア,ドミニオン,DEM,ノービス,ソードマン,ブレマス,バウンテ,フェンサ,ナイト,ダークスト,スカウト,アサシン,コマンド,アーチャ,ストライ,ガンナー,ウィザ,ソーサラ,セージ,シャーマン,エレメン,エンチャン,ウァテス,ドルイド,バード,ウォーロ,カバリ,ネクロマ,タタラベ,ブラスミ,マシンナ,ファーマ,アルケミ,マリオネ,レンジャ,エクスプ,トレジャ,マーチャ,トレーダ,ギャンブラー,グラディエイター,ガーディアン,イレイザー,ホークアイ,フォースマスター,アストラリスト,カーディナル,ソウルテイカー,マエストロ,ハーヴェスト,ストライダー,ロイヤルディーラー,ジョーカー,クリア済Flag,レベル,職業レベル,名声値(Fame),転生回数(Generation),ノービス,ソードマン,ブレマス,バウンテ,フェンサ,ナイト,ダークスト,スカウト,アサシン,コマンド,アーチャ,ストライ,ガンナー,ウィザ,ソーサラ,セージ,シャーマン,エレメン,エンチャン,ウァテス,ドルイド,バード,ウォーロ,カバリ,ネクロマ,タタラベ,ブラスミ,マシンナ,ファーマ,アルケミ,マリオネ,レンジャ,エクスプ,トレジャ,マーチャ,トレーダ,ギャンブラー,グラディエイター,ガーディアン,イレイザー,ホークアイ,フォースマスター,アストラリスト,カーディナル,ソウルテイカー,マエストロ,ハーヴェスト,ストライダー,ロイヤルディーラー,ジョーカー,カテゴリ,イベント,目的,項目内容,
#チュートリアル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#第一章 原初之光,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19900000,1,1,1,1,,50,0,10062000,30151001,19000000,92,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,加入冒险公会,去寻找【冒险公会】,「吉田佳美」好像说让我去【冒险公会】的样子，去看看吧，毕竟没有坏处。,
19900001,1,1,2,1,,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,加入冒险公会,完成转职后找「吉田由美」对话,「吉田由美」建议我先去转职，之后就随便做点委托练练手吧。,
19900002,1,2,1,1,,10,0,10062000,10062000,19000002,89,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（一）,与唐卡广场的「洛洛」对话,想不到这么快就有任务啦。好像是修理飞空艇的物品被劫走了？,
19900003,1,2,2,1,,10,0,10062000,10062000,19000002,89,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（一）,与唐卡广场的「洛洛」对话,会长说「洛洛」似乎知道些什么，洛洛..？是谁？在广场上吗？总之去看看吧。,
19900004,1,2,3,1,,5,0,10022000,10022000,19000009,167,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（一）,寻找「被窃的送货员」,洛洛真是卖得一手的好萌，萌了我一脸啊。,
19900005,1,2,4,1,,5,0,10022000,10022000,19000009,167,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（一）,寻找「被窃的送货员」,他好像告诉我了在【阿克罗尼亚西部平原】的椅子上休息的「被窃的送货员」？去找找吧。,
19900006,1,2,5,1,EVT90000306_10000152,5,0,10020000,20004002,19000010,182,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（一）,去【某个西边的洞穴】寻找物品,找到那位可怜的送货员了！他告诉我东西好像被劫到西边的某个洞穴里去了..？,
19900007,1,2,6,1,EVT90000306_10000152,5,0,10020000,20004002,19000010,182,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（一）,去【某个西边的洞穴】寻找物品,怎么办，强盗的根据地，为什么要我一个人去呢？好怕哦。洞穴..应该离这里不远吧..,
19900008,1,2,7,1,EVT90000306_10000153,5,0,10062000,30151001,19000000,92,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（一）,把物品交给 冒险者会长,哇这两只PLL真是弱得跟翔一样，倒是为什么一开始打周围就变得好奇怪了？不管了，拿到了货物就赶紧回去给会长交差吧。,
19900009,1,2,8,1,EVT90000306_10000154,5,0,10062000,30156002,19000012,180,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,第一章 原初之光,市长货物被劫事件（一）,把物品交给 唐卡市市长,说起来还没见过这里的市长呢，会不会是一个彪悍的大叔呢？总之肯定是一个非常有实力的人，去把物品交给他吧。,
