#パートナー用アクトキューブの詳細設定シート,,,,,,,,,,,,,,,,,,,,,,,,,
#基本情報,,,,使用可能条件,,,,,,,,,,,,,,説明文,スキルのアクトキューブ,削除条件,条件?行動?Pスキルのアクトキューブ,,,,条件アクトキューブ
#ユニークID,アイテムID,種別ＩＤ,アクトキューブ名,パートナーランク,系統番号,動物型,人型,虫型,植物型,魔法使い型,魔法生物型,鳥型,魚型,アンデッド型,機械型,信頼度の色,転生状態,アクトキューブ情報ウィンドウの説明文,スキルＩＤ,制限,処理ID,PARAM1,PARAM2,PARAM3,任意設定フラグ
#パートナーのHPが○％以下だったら,,,,,,,,,,,,,,,,,,,,,,,,,
1,68000000,0,自分のＨＰ≦１０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R１０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,1,10,1,0,0
2,68000001,0,自分のＨＰ≦２０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R２０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,1,20,1,0,0
3,68000002,0,自分のＨＰ≦３０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R３０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,1,30,1,0,0
4,68000003,0,自分のＨＰ≦４０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R４０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,1,40,1,0,0
5,68000004,0,自分のＨＰ≦５０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R５０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,1,50,1,0,0
6,68000005,0,自分のＨＰ≦６０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R６０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,1,60,1,0,0
7,68000006,0,自分のＨＰ≦７０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R７０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,1,70,1,0,0
8,68000007,0,自分のＨＰ≦８０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R８０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,1,80,1,0,0
9,68000008,0,自分のＨＰ≦９０％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R９０％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,1,90,1,0,0
10,68000009,0,自分のＨＰ≦１００％＜主人＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R１００％以下になると$R主人に向けて行動を起こす$R$Rパートナープロテクト中は、$R＜主人＞となっている対象は$R＜自分＞として挙動が$R変更されます。,0,0,1,100,1,0,0
11,68000020,0,自分のＨＰ≦１０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R１０％以下になると$R自分に向けて行動を起こす,0,0,1,10,2,0,0
12,68000021,0,自分のＨＰ≦２０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R２０％以下になると$R自分に向けて行動を起こす,0,0,1,20,2,0,0
13,68000022,0,自分のＨＰ≦３０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R３０％以下になると$R自分に向けて行動を起こす,0,0,1,30,2,0,0
14,68000023,0,自分のＨＰ≦４０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R４０％以下になると$R自分に向けて行動を起こす,0,0,1,40,2,0,0
15,68000024,0,自分のＨＰ≦５０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R５０％以下になると$R自分に向けて行動を起こす,0,0,1,50,2,0,0
16,68000025,0,自分のＨＰ≦６０％＜自分＞,1,0,0,0,0,0,0,0,0,0,0,0,0,0,条件のアクトキューブ$R自分のＨＰが$R６０％以下になると$R自分に向けて行動を起こす,0,0,1,60,2,0,0
