#パートナーの装備アイテムデータ設定シート,
# 基本情報,,戦闘パラメータ,,,,,,,,,,,,,,,,,,,,属性情報,,,,,,,状態異常情報,,,,,,,,,装備可能条件,,,備考,
# ItemID,アイテム名,HP上昇,MP上昇,SP上昇,物理攻撃力,魔法攻撃力,物理防御力（－）,物理防御力（％）,魔法防御力（－）,魔法防御力（％）,近命中力,遠命中力,魔法命中力,近回避力,遠回避力,魔回避力,クリ力,クリ回避,HP回復率,MP回復率,SP回復率,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足,混乱,凍結,気絶,パートナーランク,攻撃タイプ,系統,コメント用,
#▼65000000～65004900はパートナーの武器＜護符系＞（100飛ばし）,
65000000,攻撃の護符＋１,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,全系統共通装備＜武器＞,
65000100,攻撃の護符＋２,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,0,全系統共通装備＜武器＞,
65000200,攻撃の護符＋３,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,0,全系統共通装備＜武器＞,
65000300,攻撃の護符＋４,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,,0,全系統共通装備＜武器＞,
65000400,攻撃の護符＋５,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,,0,全系統共通装備＜武器＞,
65000500,魔法攻撃の護符＋１,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,全系統共通装備＜武器＞,
65000510,魔法攻撃の護符＋２,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,0,全系統共通装備＜武器＞,
65000520,魔法攻撃の護符＋３,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,0,全系統共通装備＜武器＞,
65000530,魔法攻撃の護符＋４,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,,0,全系統共通装備＜武器＞,
65000540,魔法攻撃の護符＋５,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,,0,全系統共通装備＜武器＞,
