#パートナー用フードの詳細設定シート,
#アイテムID,使用可能条件,,,効果内容,
#アイテムID,最低パートナーランク,最大パートナーランク,系統番号,再使用時間(分),獲得経験値,信頼度上昇率,
#ＥＸユニオンミール,
68500179,1,20,0,5,7,180,
68500180,21,30,0,5,12,180,
68500181,31,40,0,10,80,180,
68500182,41,60,0,10,430,180,
68500183,61,70,0,20,1020,180,
68500184,71,110,0,30,1850,180,
68500185,81,110,0,50,179100,180,
#ユニオンミール(Ｓ),
68500100,1,50,0,5,1,130,
68500101,1,50,0,5,1,150,
68500102,1,50,0,5,1,180,
68500103,1,50,0,30,5,130,
68500104,1,50,0,30,5,150,
68500105,1,50,0,30,5,180,
68500106,1,50,0,60,10,130,
68500107,1,50,0,60,10,150,
68500108,1,50,0,60,10,180,
68500109,1,50,0,240,40,130,
68500110,1,50,0,240,40,150,
68500111,1,50,0,240,40,180,
#ユニオンミール(M),
68500112,21,70,0,5,2,130,
68500113,21,70,0,5,2,150,
68500114,21,70,0,5,2,180,
68500115,21,70,0,30,10,130,
68500116,21,70,0,30,10,150,
68500117,21,70,0,30,10,180,
68500118,21,70,0,60,22,130,
68500119,21,70,0,60,22,150,
68500120,21,70,0,60,22,180,
68500121,21,70,0,240,70,130,
68500122,21,70,0,240,70,150,
68500123,21,70,0,240,70,180,
#ユニオンミール(L),
68500124,31,80,0,10,26,130,
68500125,31,80,0,10,26,150,
68500126,31,80,0,10,26,180,
68500127,31,80,0,60,170,130,
68500128,31,80,0,60,170,150,
68500129,31,80,0,60,170,180,
68500130,31,80,0,240,700,130,
68500131,31,80,0,240,700,150,
68500132,31,80,0,240,700,180,
#ユニオンミール(X),
68500133,41,90,0,10,143,130,
68500134,41,90,0,10,143,150,
68500135,41,90,0,10,143,180,
68500136,41,90,0,60,500,130,
68500137,41,90,0,60,500,150,
68500138,41,90,0,60,500,180,
68500139,41,90,0,240,2300,130,
68500140,41,90,0,240,2300,150,
68500141,41,90,0,240,2300,180,
#本格的ユニオンミール(Ｓ),
68500142,61,95,0,20,350,130,
68500143,61,95,0,20,350,150,
68500144,61,95,0,20,350,180,
68500145,61,95,0,120,2200,130,
68500146,61,95,0,120,2200,150,
68500147,61,95,0,120,2200,180,
68500148,61,95,0,240,4600,130,
68500149,61,95,0,240,4600,150,
68500150,61,95,0,240,4600,180,
#本格的ユニオンミール(Ｍ),
68500151,71,110,0,30,620,130,
68500152,71,110,0,30,620,150,
68500153,71,110,0,30,620,180,
68500154,71,110,0,180,3960,130,
68500155,71,110,0,180,3960,150,
68500156,71,110,0,180,3960,180,
68500157,71,110,0,360,8020,130,
68500158,71,110,0,360,8020,150,
68500159,71,110,0,360,8020,180,
#本格的ユニオンミール(Ｌ),
68500160,81,110,0,50,60000,130,
68500161,81,110,0,50,60000,150,
68500162,81,110,0,50,60000,180,
68500163,81,110,0,300,350000,130,
68500164,81,110,0,300,350000,150,
68500165,81,110,0,300,350000,180,
#ＥＸユニオンミール（倉庫補償用）,
68500192,1,20,0,5,7,180,
68500193,21,30,0,5,12,180,
68500194,31,40,0,10,80,180,
68500195,41,60,0,10,430,180,
68500196,61,70,0,20,1020,180,
68500197,71,110,0,30,1850,180,
68500198,81,110,0,50,179100,180,
#パンプキンのおやつ,
68500199,1,50,0,30,20,180,
#ランク無視おやつ,
68500200,1,110,0,10,70,110,
68500201,1,110,0,10,420,110,



