#パートナーの連動モーション設定シート,
#パートナー情報,,,,,主人情報,
#パートナーのアイテムID,連動番号,出現位置,向き,モーションID,向き,モーションID,備考,
# ブリキングRX1・アルマの設定,
10158800,0,85,2,9000,1,2048,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9000 を再生する。主人がパートナーを見るを基準に、主人は「右前」を向き、パートナーは「右」を向きます。,
10158800,1,85,1,9001,1,158,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9001 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「右前」を向きます。,
10158800,2,85,1,9002,1,9002,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9002 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「右前」を向きます。,
# クイーンビー・アルマの設定,
10159200,0,85,0,9003,0,9003,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9003 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
10159200,1,85,0,9004,0,9003,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9004 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
10159200,2,85,0,9005,0,9005,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9005 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# アルカナハート・アルマの設定,
10159700,0,85,0,9006,0,9006,パートナーが主人の周囲セルの「南」に移動して、モーションID 9006 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
10159700,1,85,0,9007,0,9007,パートナーが主人の周囲セルの「南」に移動して、モーションID 9007 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
10159700,2,85,0,9008,0,9008,パートナーが主人の周囲セルの「南」に移動して、モーションID 9008 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# ウィスプ・アルマの設定,
10159800,0,85,0,9009,0,9009,パートナーが主人の周囲セルの「南」に移動して、モーションID 9009 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
10159800,1,85,0,9010,0,9010,パートナーが主人の周囲セルの「南」に移動して、モーションID 9010 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
10159800,2,85,0,9011,0,9011,パートナーが主人の周囲セルの「南」に移動して、モーションID 9011 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# スケルトンシューター・アルマの設定,
10160200,0,85,0,9012,0,9012,パートナーが主人の周囲セルの「南」に移動して、モーションID 9009 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
10160200,1,85,0,9013,0,9013,パートナーが主人の周囲セルの「南」に移動して、モーションID 9010 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
10160200,2,85,0,9014,0,9014,パートナーが主人の周囲セルの「南」に移動して、モーションID 9011 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# スペクター・アルマの設定,
10160800,0,85,0,9015,0,9015,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9015 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# ニドエッグ・アルマの設定,
10164200,0,85,0,9016,0,9016,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9016 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# ホウオウ・アルマの設定,
10165100,0,85,0,9017,0,9017,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9017 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# ニドエッグ・アルマの設定,
10165500,0,85,0,9018,0,9018,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9018 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# ベイヤール・アルマの設定,
10166300,0,85,0,9019,0,9019,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9019 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# サンドラット・アルマの設定,
10166900,0,85,0,9020,0,9020,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9020 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# クリスタル・アルマの設定,
10167700,0,85,0,9021,0,9021,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9021 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# ホワイトファング・アルマの設定,
10168300,0,85,0,9022,0,9022,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9022 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# シナモン・アルマの設定,
10168600,0,85,0,9037,0,9037,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9037 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
10168600,1,85,0,9038,0,9038,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9038 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# サイクロプス・アルマの設定,
10169400,0,85,0,9039,0,9039,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9039 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# クリムゾンバウ・アルマの設定,
10170400,0,85,0,9040,0,9040,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9040 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# バルーンピッグー・アルマの設定,
10170700,0,85,1,9041,1,9041,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9041 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「右前」を向きます。,
# フォックストロットＢ３・アルマの設定,
10171000,0,85,0,9042,0,9042,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9042 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# ポイズンジェル・アルマの設定,
10172000,0,85,4,9043,0,9043,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9043 を再生する。主人とパートナーは、向かい合う。,
# スペルキャスター・アルマの設定,
10172300,0,85,0,9045,0,9045,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9045 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
10172300,1,85,0,9046,0,9046,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9046 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# モックー・アルマの設定,
10173000,0,85,0,9047,0,9047,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9047 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
# ワイルドドラゴ・アルマの設定,
10173600,0,85,6,9048,6,9048,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9048 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「左」を向きます。,
# ゴーチン・アルマの設定,
10174100,0,85,4,9049,0,9049,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9049 を再生する。主人とパートナーは、向かい合う。,
# コッコー・アルマの設定,
10174500,0,85,4,9050,4,9050,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9050 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「背後」を向きます。,
# ダンプティー・アルマ(excentrique)の設定,
10174800,0,85,6,9051,6,9051,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9051 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「左」を向きます。,
10174800,1,85,6,9052,6,9052,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9052 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「左」を向きます。,
# 背負い魔・ネコマタ（シャル）の設定,
10175300,0,85,4,9053,0,9053,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9053 を再生する。主人とパートナーは、向かい合う。,
# ゴースト・アルマの設定,
10176800,0,85,0,9055,0,9055,パートナーが主人の周囲セルの「南、西、北、東」のいずれかに移動して、モーションID 9055 を再生する。主人がパートナーを見るを基準に、主人とパートナーは同じ方向の「正面」を向きます。,
