#PETID,ペット名,PICTID,種別ID,スケール,特殊情報,,,,基本パラメータ,,,,,,,,ステータス,,,,物理攻撃,,,魔法攻撃,,防御力,,,,命中,,,回避,,,クリティカル,,回復力,,攻撃速度,,,,,,状態異常耐性,,,,,,,,,思考ID(通常時）,思考ID(瀕死時),スキルリスト,,,,,,,,備考,
#,通常ペット名は全角13文字まで,,,,飛行,モーションセット番号,騎乗者非表示設定,LV,腕力,魔力,体力,器用,敏捷,知性,運,魅力,HP,MP,SP,速度,最小,最大,攻撃タイプ,最小,最大,物理－,物理％,魔法－,魔法％,近接,遠隔,魔法,近接,遠隔,魔法,発生,回避,回復力,魔回復力,物理,詠唱,遠距離タイプ,射程,通常攻撃回数,通常攻撃ダメージ％,毒,石化,麻痺,睡眠,沈黙,鈍足化,混乱,氷結,気絶,思考ID１,思考ID１,スキルID1,スキルID2,スキルID3,スキルID4,スキルID5,スキルID6,スキルID7,スキルID8,
#,騎乗ペット名は全角16文字まで,,,,,,,,STR,MAG,VIT,DEX,AGI,INT,LUK,CHR,,,,移動速度,ATK（MIN）,ATK（MAX）,,M?ATK（MIN）,M?ATK（MAX）,DEF（-）,DEF（%）,M?DEF（-）,M?DEF（%）,S?HIT,L?HIT,魔法命中（状態異常魔法などの発生確率上昇に使用）,S?AVOID,L?AVOID,魔法耐性（状態異常魔法などの発生確率低下に使用）,クリティカル,クリティカル回避,HP回復率,MP回復率,A?SPD,C?SPD,
10260001,エミルのネコマタ,10260001,MAGIC_CREATURE_0,1,1,0,0,1,1,1,1,1,1,1,1,1,240,0,0,400,10,10,BLOW,30,30,3,6,10,16,34,20,100,60,20,120,20,20,100,1,200,200,1,1,1,100,80,80,80,50,50,50,50,80,50,40,40,0,0,0,0,0,0,0,0,
10620003,妹ココッコー,10620000,BIRD_30,0.3,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,500,1,1,STAB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,1,200,200,0,1,1,100,50,50,50,50,50,50,50,50,50,41,41,6501,6503,6550,0,0,0,0,0,
10760901,ダークドラゴ,10760901,ANIMAL_RIDE_4,1,0,0,0,1,1,1,1,1,1,1,1,1,320,0,0,450,49,49,SLASH,43,43,37,26,18,10,43,24,13,28,15,14,21,4,120,1,150,130,0,1,0,0,150,0,50,0,150,0,50,0,150,41,41,0,0,0,0,0,0,0,0,
10840000,２足歩行ロボ,10840000,MACHINE_RIDE_ROBOT_4,1,0,0,0,1,1,1,1,1,1,1,1,1,2000,250,250,450,150,150,BLOW,300,300,50,15,30,20,100,100,100,70,60,50,10,10,120,1,250,250,0,1,0,0,150,150,150,150,150,150,150,150,150,41,41,0,0,0,0,0,0,0,0,
14990000,太陽の祭器 ,14990000,HUMAN_RIDE_4,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,380,49,79,BLOW,43,43,37,26,18,10,43,24,13,100,100,40,30,10,120,1,150,130,0,1,0,0,150,0,50,0,150,0,50,0,150,41,41,0,0,0,0,0,0,0,0,
15940000,２足歩行ロボ（強化外装）,15940000,MACHINE_RIDE_ROBOT_4,1,0,0,0,1,1,1,1,1,1,1,1,1,4000,300,300,450,200,200,BLOW,350,350,100,20,60,25,120,100,100,70,60,50,10,10,120,1,250,250,0,1,0,0,150,150,150,150,150,150,150,150,150,41,41,0,0,0,0,0,0,0,0,
17559000,護りのたまご,17550001,MAGIC_CREATURE_RIDE_4,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,380,49,79,BLOW,43,43,37,26,18,10,43,24,13,100,100,40,30,10,120,1,150,130,0,1,0,0,150,0,50,0,150,0,50,0,150,41,41,0,0,0,0,0,0,0,0,
19000000,メイド2（タイ）,19000001,HUMAN_9,1,0,0,0,1,1,1,1,1,1,1,1,1,200,0,0,500,13,13,BLOW,13,13,7,20,25,17,9,8,30,4,4,16,2,1,100,1,80,200,0,1,1,100,150,0,0,0,150,150,0,0,0,41,41,0,0,0,0,0,0,0,0,
20000050,探索用エレキテル?斬,20000050,MACHINE_RIDE_4,1,0,0,1,1,1,1,1,1,1,1,1,1,800,0,0,380,245,245,BLOW,50,50,80,39,64,10,172,172,20,86,86,42,50,20,200,1,350,130,0,1,0,0,150,0,50,0,150,0,50,0,150,41,41,0,0,0,0,0,0,0,0,
20000051,探索用エレキテル?盾,20000051,MACHINE_RIDE_4,1,0,0,1,1,1,1,1,1,1,1,1,1,1000,0,0,380,48,52,BLOW,50,50,138,39,129,10,136,72,52,112,112,42,20,40,200,1,900,130,0,1,0,0,150,0,50,0,150,0,50,0,150,41,41,0,0,0,0,0,0,0,0,
