#PETID,ペット名,PICTID,種別ID,体の幅,体の長さ,スケール,特殊情報,,,基本パラメータ,,,,,,,,戦闘パラメータ,,,,,,,,,,,,,,,,,,,,,,,,,,属性値,,,,,,,状態異常耐性,,,,,,,,,思考ID(通常時）,,,,,,,,,,思考ID(出現時),,思考ID(瀕死時),,,,,,,,,,思考ID(終焉時）,,スキルリスト,,,,,,,,,,,,EXP,JOBEXP,ドロップアイテム,ドロップアイテム,,,,,,,備考,
#,,,,,,,飛行,アンデッド,LV,腕力,魔力,体力,器用度,敏捷度,知性,現在ＨＰ,転生限界,最大HP,最大SP,最大MP,速度,最小攻,最大攻,タイプ,最小魔攻,最大魔攻,物理防－,物理防％,魔法防－,魔法防％,近命中,遠命中,魔命中,近回避,遠回避,魔回避,クリティカル,クリティカル回避,回復力,魔回復力,攻撃速度,詠唱速度,射程,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足化,混乱,氷結,気絶,思考ID１,,思考ID2,,思考ID3,,思考ID4,,思考ID5,,思考ID1,,思考ID１,,思考ID2,,思考ID3,,思考ID4,,思考ID5,,思考ID1,,スキルID1,,スキルID2,,スキルID3,,スキルID4,,スキルID5,,スキルID6,,,,ドロップ率ID,アイテムID1,アイテムID2,アイテムID3,アイテムID4,アイテムID5,アイテムID6,アイテムID7,
#99999999,全角１６文字までＯＫ,99999999,HUMAN,1,1,1,0,0,0,127,127,127,127,127,127,127,127,9999,9999,9999,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,100,100,100,100,100,100,100,9999,9999,9999,9999,9999,9999,9999,9999,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,127,9999,9999,0,9999,0,9999,0,9999,0,9999,0,9999,0,99999999,99999999,0,99999999,99999999,99999999,99999999,null,99999999,99999999,
10010003,咕咕,10010000,BIRD_20,0.8,0.8,0.8,0,0,1,1,1,1,1,1,1,1,100,300,0,0,500,50,50,STAB,25,25,30,20,30,20,30,10,45,35,20,25,20,6,100,1,200,200,1,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6501,0,6503,0,6550,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10620002,咕咕雞,10620000,BIRD_21,0.8,0.8,0.8,0,0,1,1,1,1,1,1,1,1,100,800,0,0,500,128,128,STAB,102,102,90,50,51,44,90,200,200,150,150,60,80,35,100,10,200,200,1,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6501,0,6503,0,6550,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10620003,小咕咕雞,10620000,BIRD_30,0.3,0.3,0.3,0,0,1,1,1,1,1,1,1,1,100,800,0,0,500,128,128,STAB,102,102,90,50,51,44,90,200,200,150,150,60,80,35,100,10,200,200,1,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6501,0,6503,0,6550,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10122000,巴烏巴烏,10120100,ANIMAL_2,1,1,1,0,0,1,1,1,1,1,1,1,1,100,1000,0,0,400,138,138,SLASH,45,45,112,50,56,30,120,52,130,165,80,64,72,48,100,1,200,200,1,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,41,100,0,0,0,0,0,0,0,0,0,0,41,100,0,0,0,0,0,0,0,0,0,0,6301,0,6303,0,6305,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260000,貓靈（桃）,10260000,MAGIC_CREATURE_0,1,1,1,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,10,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260003,貓靈（菫）,10260003,MAGIC_CREATURE_19,1,1,1,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,10,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260004,貓靈（茜）,10260004,MAGIC_CREATURE_28,1,1,1,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,10,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260005,貓靈（杏）,10260005,MAGIC_CREATURE_29,0.95,0.95,0.95,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,10,0,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260006,貓靈（空）,10260006,MAGIC_CREATURE_32,1,1,1,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,0,10,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
10260007,貓靈（転生桃）,10260007,MAGIC_CREATURE_0,0.95,0.95,0.95,1,0,1,1,1,1,1,1,1,1,100,480,0,0,400,30,30,BLOW,90,90,18,36,60,48,102,60,300,180,60,360,60,60,100,12,200,200,1,0,0,0,0,0,0,10,80,80,80,50,50,50,50,80,50,40,100,0,0,0,0,0,0,0,0,0,0,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,
