#アイテム合成レシピ設定シート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#基本設定枠,取得経験値の適正設定枠,,,,合成に必要なスキルや素材アイテム設定枠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#基本情報,取得経験値の適正LV情報,,,,,,,合成に必要な,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,適正BaseLV,,適正JobLV,,,,,料金情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#通し番号,MIN,MAX,MIN,MAX,スキルID,Lv,スキルID,料金,アイテムID,アイテムID,個数,アイテムID,個数,アイテムID,個数,アイテムID,個数,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率,アイテムID,個数,確率
#アイテム精製LV1(1～20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,5,1,5,2009,1,0,0,0,10009000,1,0,0,0,0,0,0,10045300,2,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,5,1,5,2009,1,0,0,0,10008400,1,0,0,0,0,0,0,10045400,2,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,6,1,5,2009,1,0,0,0,10002200,1,0,0,0,0,0,0,10008450,1,90,10000210,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,8,2,6,2009,1,0,0,0,10007900,1,0,0,0,0,0,0,10005900,4,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,5,1,5,2009,1,0,0,0,10005900,1,0,0,0,0,0,0,10001100,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,8,2,6,2009,1,0,0,0,10003650,1,0,0,0,0,0,0,10009200,1,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,8,2,6,2009,1,0,0,0,10032800,1,0,0,0,0,0,0,10000210,1,90,10000210,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,5,1,5,2009,1,0,0,0,10000210,2,0,0,0,0,0,0,10001800,1,90,10000210,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,5,1,5,2009,1,0,0,0,10001800,2,0,0,0,0,0,0,10000204,1,90,10000210,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,6,1,5,2009,1,0,0,0,10025200,1,0,0,0,0,0,0,61010300,10,90,10001250,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
