#?? ID,? ??,???? ?? X,???? ?? Y,???? ?? X,???? ?? Y,??,PointName(savepoint),???? ??(1??? ???? ??),
0,10025000,1,126,3,129,6,,0,
1,30030000,2,5,2,5,4,,0,
2,30030000,2,5,2,5,4,,0,
3,10023000,217,126,218,129,2,,0,
4,10023100,224,126,225,129,6,,0,
5,10024000,208,140,209,143,2,,0,
6,10024000,208,112,209,115,2,,0,
7,30100000,4,14,6,15,4,,0,
8,,,,,,,,0,
9,,,,,,,,0,
10,10022000,252,126,254,129,2,,0,
11,30031000,2,5,2,5,4,,0,
12,30031000,2,5,2,5,4,,0,
13,10023000,37,126,38,129,6,,0,
14,10023200,30,126,32,129,2,,0,
15,10024000,46,112,47,115,6,,0,
16,10024000,46,140,47,143,6,,0,
17,30101000,4,14,6,15,4,,0,
18,,,,,,,,0,
19,,,,,,,,0,
20,10031000,126,1,129,3,0,,0,
21,30032000,2,5,2,5,4,,0,
22,30032000,2,5,2,5,4,,0,
23,10023000,126,218,129,219,4,,0,
24,10023300,126,225,129,226,0,,0,
25,10024000,112,208,115,209,4,,0,
26,10024000,140,208,143,209,4,,0,
27,30102000,4,14,6,15,4,,0,
28,,,,,,,,0,
29,,,,,,,,0,
30,10014000,126,252,129,254,4,,0,
31,30033000,2,5,2,5,4,,0,
32,30033000,2,5,2,5,4,,0,
33,10023000,126,37,129,38,0,,0,
34,10023400,126,30,129,32,4,,0,
35,10024000,140,46,143,47,0,,0,
36,10024000,112,46,115,47,0,,0,
37,30103000,4,14,6,15,4,,0,
38,,,,,,,,0,
39,,,,,,,,0,
40,30022000,3,5,3,5,4,,0,
41,,,,,,,,0,
42,,,,,,,,0,
43,30021000,3,5,3,5,4,,0,
44,30110000,12,21,14,23,4,,0,
45,30120000,10,21,13,23,4,,0,
46,30121000,10,21,13,23,4,,0,
47,10023000,163,126,165,129,6,,0,
48,10023000,90,126,92,129,2,,0,
49,,,,,,,,0,
50,10023100,210,140,212,143,6,,1,
51,10023100,210,112,212,115,6,,1,
52,,,,,,,,0,
53,30010000,3,5,3,5,4,,0,
54,,,,,,,,0,
55,10023200,43,112,45,115,2,,1,
56,10023200,43,140,45,143,2,,1,
57,,,,,,,,0,
58,30014000,3,5,3,5,4,,0,
59,,,,,,,,0,
60,10023300,112,210,115,212,0,,1,
61,10023300,140,210,143,212,0,,1,
62,,,,,,,,0,
63,30012000,3,5,3,5,4,,0,
64,,,,,,,,0,
65,10023400,140,43,143,45,4,,1,
66,10023400,112,43,115,45,4,,1,
67,,,,,,,,0,
68,30001000,2,4,2,4,4,,0,
69,,,,,,,,0,
70,30002000,3,5,3,5,4,,0,
71,,,,,,,,0,
72,,,,,,,,0,
73,,,,,,,,0,
74,,,,,,,,0,
75,,,,,,,,0,
76,,,,,,,,0,
77,,,,,,,,0,
78,,,,,,,,0,
79,,,,,,,,0,
80,,,,,,,,0,
81,,,,,,,,0,
82,,,,,,,,0,
83,,,,,,,,0,
84,,,,,,,,0,
85,,,,,,,,0,
86,,,,,,,,0,
87,,,,,,,,0,
88,,,,,,,,0,
89,,,,,,,,0,
90,,,,,,,,0,
91,,,,,,,,0,
92,,,,,,,,0,
93,,,,,,,,0,
94,,,,,,,,0,
95,,,,,,,,0,
96,,,,,,,,0,
97,,,,,,,,0,
98,,,,,,,,0,
99,,,,,,,,0,
100,30180000,8,16,11,18,4,,0,
101,30181000,8,16,11,18,4,,0,
102,30182000,8,16,11,18,4,,0,
103,30183000,8,16,11,18,4,,0,
104,30190000,10,20,13,22,4,,0,
105,30192000,10,20,13,22,4,,0,
106,30194000,10,20,13,22,4,,0,
107,30196000,10,20,13,22,4,,0,
108,10014002,126,197,129,199,0,,0,
109,10014002,126,197,129,199,0,,0,
110,30140000,9,14,13,19,0,,0,
111,30141000,9,14,13,19,0,,0,
112,,,,,,,,0,
113,50027000,10,10,10,10,-1,,0,
114,50028000,10,10,10,10,-1,,0,
115,50029000,10,10,10,10,-1,,0,
116,50030000,10,10,10,10,-1,,0,
117,50031000,4,36,4,36,-1,,0,
118,50032000,10,10,10,10,-1,,0,
119,20081000,12,21,12,21,4,,0,
120,10023100,231,136,232,138,4,,0,
121,10023100,231,117,232,119,0,,0,
122,,,,,,,,0,
123,,,,,,,,0,
124,10023200,23,117,24,119,0,,0,
125,10023200,23,136,24,138,4,,0,
126,,,,,,,,0,
127,,,,,,,,0,
128,10023300,117,232,119,233,6,,0,
129,10023300,136,232,138,233,2,,0,
130,,,,,,,,0,
131,,,,,,,,0,
132,10023400,136,23,138,24,2,,0,
133,10023400,117,23,119,24,6,,0,
134,30180000,8,1,11,3,0,,0,
135,30181000,8,1,11,3,0,,0,
136,30182000,8,1,11,3,0,,0,
137,30183000,8,1,11,3,0,,0,
138,30191000,10,20,13,22,4,,0,
139,30193000,10,20,13,22,4,,0,
140,30195000,10,20,13,22,4,,0,
141,30197000,10,20,13,22,4,,0,
142,10024000,126,48,129,49,0,,0,
143,10024000,58,87,58,87,4,,0,
144,10024000,48,126,49,129,6,,0,
145,10024000,207,126,208,129,2,,0,
146,10024000,126,207,129,208,4,,0,
147,,,,,,,,0,
148,,,,,,,,0,
149,10023000,152,98,155,99,0,,0,
150,10023000,100,98,103,99,0,,0,
151,10023000,126,93,129,94,0,,0,
152,30180000,8,1,11,3,0,,0,
153,30181000,8,1,11,3,0,,0,
154,30182000,8,1,11,3,0,,0,
155,30183000,8,1,11,3,0,,0,
156,10024000,143,110,145,112,1,,0,
157,10024000,110,143,112,145,5,,0,
158,10024000,143,143,145,145,3,,0,
159,10024000,110,110,112,112,7,,0,
160,10023100,252,126,253,129,2,,0,
161,10023200,2,126,3,129,6,,0,
162,10023300,126,252,129,253,4,,0,
163,10023400,126,2,129,3,0,,0,
164,30110000,12,14,14,16,0,,0,
165,30111000,12,14,14,16,0,,0,
166,30112000,12,14,14,16,0,,0,
167,30113000,12,14,14,16,0,,0,
168,30114000,12,14,14,16,0,,0,
169,30900000,10,10,11,11,0,,0,
170,20000000,62,23,66,24,0,,0,
171,10034000,36,56,37,59,6,,0,
172,20001000,105,106,106,109,2,,0,
173,20000000,105,106,106,109,2,,0,
174,20002000,21,62,22,65,6,,0,
175,20001000,21,62,22,65,6,,0,
176,20003000,105,62,106,65,2,,0,
177,20002000,105,62,106,65,2,,0,
178,20004000,62,101,65,102,4,,0,
179,20003000,61,103,62,104,2,,0,
180,,,,,,,,0,
181,,,,,,,,0,
182,20010000,62,11,65,13,0,,0,
183,10002000,49,221,50,222,4,,0,
184,20010000,43,67,44,68,0,,0,
185,20010000,57,65,58,66,6,,0,
186,20010000,89,65,90,66,6,,0,
187,20010000,69,65,70,66,2,,0,
188,20010000,99,112,101,115,2,,0,
189,20010000,110,111,113,113,4,,0,
190,,,,,,,,0,
191,20010000,62,75,65,77,,,0,
192,20011000,12,108,13,111,6,,0,
193,20010000,11,108,12,111,6,,0,
194,,,,,,,,0,
195,,,,,,,,0,
196,20012000,113,64,114,67,2,,0,
197,20011000,115,64,116,67,2,,0,
198,20012000,57,64,59,67,2,,0,
199,20012000,77,65,78,66,6,,0,
200,20013000,62,67,65,69,4,,0,
201,10023000,130,139,133,140,4,,0,
202,10001000,90,1,93,3,0,,0,
203,10020000,252,158,254,161,2,,0,
204,30040000,3,6,3,6,4,,0,
205,30041000,3,6,3,6,4,,0,
206,30042000,3,6,3,6,4,,0,
207,30043000,3,6,3,6,4,,0,
208,30044000,3,6,3,6,4,,0,
209,30045000,3,6,3,6,4,,0,
210,30046000,3,6,3,6,4,,0,
211,30047000,3,6,3,6,4,,0,
212,30048000,3,6,3,6,4,,0,
213,30049000,3,6,3,6,4,,0,
214,30050000,3,6,3,6,4,,0,
215,30051000,3,6,3,6,4,,0,
216,30052000,3,6,3,6,4,,0,
217,30053000,3,6,3,6,4,,0,
218,30054000,3,6,3,6,4,,0,
219,30055000,3,6,3,6,4,,0,
220,30111000,25,13,25,13,2,,0,
221,30111000,1,13,1,13,6,,0,
222,30111000,13,25,13,25,4,,0,
223,30111000,13,1,13,1,0,,0,
224,30112000,25,13,25,13,2,,0,
225,30112000,1,13,1,13,6,,0,
226,30112000,13,25,13,25,4,,0,
227,30112000,13,1,13,1,0,,0,
228,30113000,25,13,25,13,2,,0,
229,30113000,1,13,1,13,6,,0,
230,30113000,13,25,13,25,4,,0,
231,30113000,13,1,13,1,0,,0,
232,30114000,25,13,25,13,2,,0,
233,30114000,1,13,1,13,6,,0,
234,30114000,13,25,13,25,4,,0,
235,30114000,13,1,13,1,0,,0,
236,20030000,62,10,65,12,0,,0,
237,10035000,43,192,44,195,6,,0,
238,20031000,62,113,65,115,4,,0,
239,20030000,62,115,65,117,4,,0,
240,20032000,106,113,109,115,4,,0,
241,20031000,106,113,109,115,4,,0,
242,,,,,,,,0,
243,,,,,,,,0,
244,10030001,235,132,236,133,2,,1,
245,30201002,7,10,7,10,4,,1,
246,10030001,237,99,239,99,4,,1,
247,,,,,,,,0,
248,10003000,2,31,3,34,6,,0,
249,10002000,252,30,253,33,2,,0,
250,10003000,77,252,80,254,4,,0,
251,10014000,78,1,81,3,0,,0,
252,10004000,2,209,3,212,6,,0,
253,10003000,252,209,253,212,2,,0,
254,10001000,194,252,197,253,4,,0,
255,10004000,193,2,196,3,0,,0,
256,10015000,1,118,3,121,6,,0,
257,10014000,252,118,253,121,2,,0,
258,10017000,2,76,3,79,6,,0,
259,10015000,252,74,254,77,2,,0,
260,10025000,99,2,102,3,0,,0,
261,10015000,99,252,102,253,4,,0,
262,10025000,202,1,205,3,0,,0,
263,10015000,202,252,205,254,4,,0,
264,10018000,2,40,4,43,6,,0,
265,10017000,251,40,253,43,2,,0,
266,10020000,1,167,3,170,6,,0,
267,10019000,252,167,253,170,2,,0,
268,10028000,40,1,43,3,0,,0,
269,10020000,40,252,43,254,4,,0,
270,10022000,1,158,3,161,6,,0,
271,10020000,252,158,254,161,2,,0,
272,10030000,192,1,195,3,0,,0,
273,10022000,192,252,195,254,4,,0,
274,10019100,93,104,93,104,2,,0,
275,10019000,110,111,112,113,6,,0,
276,10004000,2,57,3,60,6,,0,
277,10003000,252,57,253,60,2,,0,
