#基本設定,,,,,,,,,,,,,,,,,,,,,
#ID,名称,能力Lv1,能力值Lv1,能力Lv2,能力值Lv2,能力Lv3,能力值Lv3,能力Lv4,能力值Lv4,能力Lv5,能力值Lv5,能力Lv6,能力值Lv6,能力Lv7,能力值Lv7,能力Lv8,能力值Lv8,能力Lv9,能力值Lv9,能力Lv10,能力值Lv10
1,基礎体力強化,1,50,1|4,50|5,1|4,200|5,1|4,200|10,1|4|10,200|10|1,1|4|10,200|15|1,1|4|10,800|15|1,1|4|10,800|20|1,1|4|10,2000|20|1,1|4|10,2000|20|2
2,基礎知力強化,3,30,3|6,30|5,3|6,120|5,3|6,120|10,3|6|8,120|10|1,3|6|8,120|15|1,3|6|8,450|15|1,3|6|8,450|20|1,3|6|8,1000|20|1,3|6|8,1000|20|2
3,基礎技術力強化,2,30,2|5,30|5,2|5,120|5,2|5,120|10,2|5|9,120|10|1,2|5|9,120|15|1,2|5|9,450|15|1,2|5|9,450|20|1,2|5|9,1000|20|1,2|5|9,1000|20|2
4,トップブリーダーの心得,30,5,30,10,30,15,30,20,30,25,30,30,30,35,30,35,30,35,30,35
5,パッケージの心得,28,5,28|27,5|5,28|27,10|5,28|27,10|10,28|27,15|10,28|27,15|15,28|27,20|15,28|27,20|20,28|27,25|20,28|27,25|20
6,ジャイアントキリング,29,10,29,20,29,30,29,50,29,80,29,100,29|13,100|5,29|13|7,100|5|1,29|13|7,100|15|1,29|13|7,100|25|1
7,耐久の心得,19,3,19|23,3|5,19|23,6|5,19|23,6|10,19|23,9|10,19|23,9|15,19|23,12|15,19|23,12|15,19|23,12|15,19|23,12|15
8,斬鉄の心得,25,2,25,4,25,6,25,8,25,10,25,12,25,14,25,14,25,14,25,14
9,流水の心得,24,2,24,4,24|26,4|2,24|26,6|2,24|26,6|5,24|26,8|5,24|26,10|5,24|26,10|5,24|26,10|5,24|26,10|5
10,ショートレンジバースト,15,5,15|13,5|3,15|13,10|3,15|13,15|3,15|13|16,15|3|10,15|13|16,15|6|10,15|13|16,20|6|10,15|13|16,20|6|10,15|13|16,20|6|10,15|13|16,20|6|10
11,ロングレンジバースト,17,5,17|13,5|3,17|13,10|3,17|13,15|3,17|13|18,15|3|10,17|13|18,15|6|10,17|13|18,20|6|10,17|13|18,20|6|10,17|13|18,20|6|10,17|13|18,20|6|10
12,ウェポンビルダー,20,3,20|21,3|5,20|21,7|5,20|21,7|10,20|21,15|10,20|21,15|20,20|21,20|20,20|21,20|30,20|21,25|30,20|21,25|40
13,アーマービルダー,22,3,22,6,22,10,22,13,22,18,22,22,22,25,22,25,22,25,22,25
14,マジックバースト,14,3,14,6,14,9,14,12,14|12,12|1,14|12,15|1,14|12,18|1,14|12,18|1,14|12,18|1,14|12,18|1
15,絶投の極意,21,5,21,10,21,15,21,25,21,40,21,50,21,60,21,60,21,60,21,60
16,トレスパス,26,1,26|25,1|3,26|25,2|3,26|25|6,2|3|10,26|25|6,3|3|10,26|25|6,3|3|10,26|25|6,3|3|10,26|25|6,3|3|10,26|25|6,3|3|10,26|25|6,3|3|10
17,榊巫女,24,2,24|19,2|4,24|19|22,2|4|8,24|19|22|23,2|4|8|10,24|19|22|23,6|4|8|10,24|19|22|23,6|9|8|10,24|19|22|23,6|9|8|10,24|19|22|23,6|9|8|10,24|19|22|23,6|9|8|10,24|19|22|23,6|9|8|10
