#NPCID,コメント,上半身(ATTR),下半身,靴,顔,髪型,帽子,髪飾りＵＰ,髪飾り左側,髪飾り右側,髪飾りＤＯＷＮ,顔飾り,右すね,肩パット右,肩パット左,胸アクセ,右手握り,左手甲,背負い,左すね,右足甲,しっぽ,付け髪ＵＰ,付け髪左サイド,付け髪右サイド,付け髪ＤＯＷＮ,右手甲,左足甲,左手握り,腰,腰追加分s26,エフェクト,タイツ,攻撃エフェクトID,トレイルエフェクトＩＤ,下半身１,下半身2,下半身3,
s0,髪型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ1,帽子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ2,髪飾りＵＰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ3,髪飾り左側,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ4,髪飾り右側,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ5,髪飾りＤＯＷＮ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ6,顔飾り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ7,右すね,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ8,肩パット右,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ9,肩パット左,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ10,胸アクセ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ11,右手握り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ12,左手甲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ13,背負い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ14,左すね,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ15,右足甲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ16,しっぽ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ17,付け髪ＵＰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ18,付け髪左サイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ19,付け髪右サイド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ20,付け髪ＤＯＷＮ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ21,右手甲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ22,左足甲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｓ23,左手握り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s24,腰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
