#ビット順番,表示するアイコン,対応するアイテムID,
0,10051000,10051000,#SP
1,10051001,10051001,
2,10051002,10051002,
3,10051003,10051003,
4,10051004,10051004,
5,10051005,10051005,
6,10051006,10051006,
7,10051007,10051007,
8,0,0,
9,0,0,
10,10050900,10050900,#1
11,10050900,10050901,
12,10050900,10050902,
13,10050900,10050903,
14,10050900,10050904,
15,10050900,10050905,
16,10050900,10050906,
17,10050900,10050907,
18,10050900,10050908,
19,10050900,10050909,
20,10050910,10050910,#2
21,10050911,10050911,
22,10050912,10050912,
23,10050913,10050913,
24,10050914,10050914,
25,10050915,10050915,
26,10050916,10050916,
27,10050917,10050917,
28,10050918,10050918,
29,10050919,10050919,
30,10050920,10050920,#3
31,10050921,10050921,
32,10050922,10050922,
33,10050923,10050923,
34,10050924,10050924,
35,10050925,10050925,
36,10050926,10050926,
37,10050927,10050927,
38,10050928,10050928,
39,10050929,10050929,
40,10050930,10050930,#4
41,10050931,10050931,
42,10050932,10050932,
43,10050933,10050933,
44,10050934,10050934,
45,10050935,10050935,
46,10050936,10050936,
47,10050937,10050937,
48,10050938,10050938,
49,10050939,10050939,
50,10050940,10050940,#5
51,10050941,10050941,
52,10050942,10050942,
53,10050943,10050943,
54,10050944,10050944,
55,10050945,10050945,
56,10050946,10050946,
57,10050947,10050947,
58,10050948,10050948,
59,10050949,10050949,
60,10050950,10050950,#6
61,10050951,10050951,
62,10050952,10050952,
63,10050953,10050953,
64,10050954,10050954,
65,10050955,10050955,
66,10050956,10050956,
67,10050957,10050957,
68,10050958,10050958,
69,10050959,10050959,
70,10050960,10050960,#7
71,10050961,10050961,
72,10050962,10050962,
73,10050963,10050963,
74,10050964,10050964,
75,10050965,10050965,
76,10050966,10050966,
77,10050967,10050967,
78,10050968,10050968,
79,10050969,10050969,
80,10050970,10050970,#8
81,10050971,10050971,
82,10050972,10050972,
83,10050973,10050973,
84,10050974,10050974,
85,10050975,10050975,
86,10050976,10050976,
87,10050977,10050977,
88,10050978,10050978,
89,10050979,10050979,
90,10050980,10050980,#9
91,10050981,10050981,
92,10050982,10050982,
93,10050983,10050983,
94,10050984,10050984,
95,10050985,10050985,
96,10050986,10050986,
97,10050987,10050987,
98,10050988,10050988,
99,10050989,10050989,
100,10050990,10050990,#10
101,10050991,10050991,
102,10050992,10050992,
103,10050993,10050993,
104,10050994,10050994,
105,10050995,10050995,
106,10050996,10050996,
107,10050997,10050997,
108,10050998,10050998,
109,10050999,10050999,
1000,10055000,0,#comp
1001,10055001,0,
1002,10055002,0,
1003,10055003,0,
1004,10055004,0,
1005,10055005,0,
1006,10055006,0,
1007,10055007,0,
1008,10055008,0,
1009,10055009,0,
1010,10055010,0,
3000,10058000,0,#allcomp
