0x1F59,CSMG_ITEM_MASTERENHANCE_CLOSE
0x1F57,CSMG_ITEM_MASTERENHANCE_CONFIRM
0x1F55,CSMG_ITEM_MASTERENHANCE_SELECT
0x2010,CSMG_FFGARDEN_JOIN
0x2059,CSMG_FF_FURNITURE_SETUP
0x2012,CSMG_FFGARDEN_JOIN_OTHER
0x205D,CSMG_FF_FURNITURE_REMOVE
0x203C,CSMG_FF_FURNITURE_REMOVE_CASTLE
0x200D,CSMG_FF_FURNITURE_ROOM_APPEAR
0x2046,CSMG_FF_FURNITURE_ROOM_ENTER
0x203A,CSMG_FF_CASTLE_SETUP
0x20DE,CSMG_FF_UNIT_SETUP
0x216C,CSMG_FF_FISHBAIT_EQUIP
0x000A,CSMG_SEND_VERSION
0x0010,CSMG_LOGIN
0x001E, new Packet
0x001F,CSMG_LOGOUT
0x001C,CSMG_SSO_LOGOUT
0x0032,CSMG_PING
0x00B8, new Packet
0x01FD,CSMG_CHAR_SLOT
0x0208,CSMG_PLAYER_STATS_UP
0x0222,CSMG_PLAYER_ELEMENTS
0x0227,CSMG_SKILL_LEARN
0x022B,CSMG_SKILL_LEVEL_UP
0x020C,CSMG_ACTOR_REQUEST_PC_INFO
0x0258,CSMG_PLAYER_STATS_PRE_CALC
0x02BE,CSMG_NPC_JOB_SWITCH
0x03E8,CSMG_CHAT_PUBLIC
0x0406,CSMG_CHAT_PARTY
0x0410,CSMG_CHAT_RING
0x041A,CSMG_CHAT_SIGN
0x05E2,CSMG_NPC_EVENT_START
0x05F1,CSMG_NPC_INPUTBOX
0x05F3,CSMG_NPC_SELECT
0x05FE,CSMG_NPC_SHOP_BUY
0x0600,CSMG_NPC_SHOP_SELL
0x0601,CSMG_NPC_SHOP_CLOSE
0x0637,CSMG_DEM_CHIP_CLOSE
0x0638,CSMG_DEM_CHIP_CATEGORY
0x063C,CSMG_DEM_CHIP_BUY
0x0641,CSMG_VSHOP_CLOSE
0x064A,CSMG_VSHOP_CATEGORY_REQUEST
0x0654,CSMG_VSHOP_BUY
0x07D0,CSMG_ITEM_DROP
0x07E4,CSMG_ITEM_GET
0x09C4,CSMG_ITEM_USE
0x09E2,CSMG_ITEM_MOVE
0x09E7,CSMG_ITEM_EQUIPT
0x09F7,CSMG_ITEM_WARE_CLOSE
0x09FB,CSMG_ITEM_WARE_GET
0x09FD,CSMG_ITEM_WARE_PUT
0x0A0A,CSMG_TRADE_REQUEST
0x0A14,CSMG_TRADE_CONFIRM
0x0A15,CSMG_TRADE_PERFORM
0x0A16,CSMG_TRADE_CANCEL
0x0A1B,CSMG_TRADE_ITEM
0x0A0D,CSMG_TRADE_REQUEST_ANSWER
0x0F96,new Packet
0x0F9F,CSMG_SKILL_ATTACK
0x0FA3,CSMG_PLAYER_RETURN_HOME
0x0FA5,CSMG_SKILL_CHANGE_BATTLE_STATUS
0x0FD2,new Packet
0x11F8,CSMG_PLAYER_MOVE
0x11FE,CSMG_PLAYER_MAP_LOADED
0x121D,CSMG_CHAT_WAITTYPE
0x1D0B,CSMG_CHAT_EXPRESSION
0x1216,CSMG_CHAT_EMOTION
0x121B,CSMG_CHAT_MOTION
0x12CB,CSMG_NPC_PET_SELECT
0x1387,CSMG_SKILL_CAST
0x13B6,CSMG_NPC_SYNTHESE
0x13B9,CSMG_NPC_SYNTHESE_FINISH
0x13BA,CSMG_CHAT_SIT
0x13C0,CSMG_ITEM_EQUIPT_REPAIR
0x13C5,CSMG_ITEM_ENHANCE_SELECT
0x13C7,CSMG_ITEM_ENHANCE_CONFIRM
0x13C9,CSMG_ITEM_ENHANCE_CLOSE
0x13D9,CSMG_ITEM_FUSION
0x13DD,CSMG_ITEM_FUSION_CANCEL
