0x0001,CSMG_SEND_VERSION
0x000A,CSMG_PING
0x002A,CSMG_CHAR_STATUS
0x00A0,CSMG_CHAR_CREATE
0x00A5,CSMG_CHAR_DELETE
0x00A7,CSMG_CHAR_SELECT
0x001F,CSMG_LOGIN
0x002F,CSMG_LOGIN_REQUEST_CONFIRM
0x0031,CSMG_SERVERLET_ASK
0x0032,CSMG_REQUEST_MAP_SERVER
0x00C9,CSMG_CHAT_WHISPER
0x00D2,CSMG_FRIEND_ADD
0x00D4,CSMG_FRIEND_ADD_REPLY
0x00D7,CSMG_FRIEND_DELETE
0x00E1,CSMG_FRIEND_DETAIL_UPDATE
0x00E6,CSMG_FRIEND_MAP_UPDATE
0x0104,CSMG_RING_EMBLEM_NEW
0x0109,CSMG_RING_EMBLEM
0x015F,CSMG_SEND_GUID
0x0172,CSMG_WRP_REQUEST
