0x00CE,SSMG_CHAT_WHISPER
0x00CA,SSMG_CHAT_WHISPER_FAILED
0x00D3,SSMG_FRIEND_ADD
0x00D6,SSMG_FRIEND_ADD_FAILED
0x00D5,SSMG_FRIEND_ADD_OK
0x00DC,SSMG_FRIEND_CHAR_INFO
0x00D8,SSMG_FRIEND_DELETE
0x00E3,SSMG_FRIEND_DETAIL_UPDATE
0x00E8,SSMG_FRIEND_MAP_UPDATE
0x00ED,SSMG_FRIEND_STATUS_UPDATE
0x00A1,SSMG_CHAR_CREATE_ACK 
0x0028,SSMG_CHAR_DATA
0x00A6,SSMG_CHAR_DELETE_ACK
0x0029,SSMG_CHAR_EQUIP
0x00A8,SSMG_CHAR_SELECT_ACK
0x00DD,SSMG_CHAR_STATUS
0x0020,SSMG_LOGIN_ACK
0x001E,SSMG_LOGIN_ALLOWED
0x000B,SSMG_PONG
0x0033,SSMG_SEND_TO_MAP_SERVER
0x0002,SSMG_VERSION_ACK
0x010A,SSMG_RING_EMBLEM
0x0173,SSMG_WRP_LIST
0x0030,SSMG_LOGIN_CONFIRMED
