#アイテム設定,,,,,アイテム詳細,,,,,,,,,,,,,,,,,,,,,スキル設定,,,,,効果設定,,,,,,,,能力設定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,属性値設定,,,,,,,状態異常設定,,,,,,,,,アイテム条件,,,,,,,,,,,,,,,,アイテム職業条件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,アイテム所属軍条件,,,,,,,,アイテムジョイントジョブ条件,,,,,,,petID かモンスターID参照,,モーション,,,,,,その他設定,,,,
#ItemID,PictID,IconID,アイテム名,種別ID,値段,重量,容量,装備時容量,憑依重量（未使用）,修理,強化ID（未使用）,処理フラグ0,イベントアイテムフラグ,レシピ表示,染色,ストック,両手装備フラグ,使用時消滅,色,耐久度,ジョイントジョブＩＤ,初期イリスカードスロット数,アイテムチェンジ可否フラグ,イベントＩＤ,エフェクトＩＤ,発動Skill,使用可能Skill,パッシブスキル,憑依時可能Skill,憑依パッシブSkill,ターゲットタイプ,発動タイプ,射程,効果時間,効果範囲,効果値,キャスト,ディレイ,HP上昇,MP上昇,SP上昇,最大重量上昇,最大容量上昇,移動力上昇,STR,MAG,VIT,DEX,AGI,INT,LUK,CHA,物理攻撃力(叩),物理攻撃力(斬),物理攻撃力(突),魔法攻撃力,物理防御力,魔法防御力,近命中力,遠命中力,魔法命中力,近回避力,遠回避力,魔回避力,クリ力,クリ回避,回復力,魔法回復力,無,火,水,風,土,光,闇,毒,石化,麻痺,睡眠,沈黙,鈍足,混乱,凍結,気絶,エミル種族,タイタニア種族,ドミニオン種族,DEM種族,男,女,LV,転生時のみ装備可,装備可STR,装備可MAG,装備可VIT,装備可DEX,装備可AGI,装備可INT,装備可LUK,装備可CHA,ノービス,ソードマン,ブレマス,バウンテ,フェンサ,ナイト,ダークスト,スカウト,アサシン,コマンド,アーチャ,ストライ,ガンナー,ウィザ,ソーサラ,セージ,シャーマン,エレメン,エンチャン,ウァテス,ドルイド,バード,ウォーロ,カバリ,ネクロマ,タタラベ,ブラスミ,マシンナ,ファーマ,アルケミ,マリオネ,レンジャ,エクスプ,トレジャ,マーチャ,トレーダ,ギャンブラー,グラディエイター,ガーディアン,イレイザー,ホークアイ,フォースマスター,アストラリスト,カーディナル,ソウルテイカー,マエストロ,ハーヴェスト,ストライダー,ロイヤルディーラー,ジョーカー,東軍,西軍,南軍,北軍,所属５（未使用）,所属６（未使用）,所属７（未使用）,所属８（未使用）,ブリーダー,ガーデナー,フラグ３（未使用）,フラグ４（未使用）,フラグ５（未使用）,フラグ６（未使用）,フラグ７（未使用）,マリオネットＩＤ,封印モンＩＤ,片手モーションID,両手モーションID,右手憑依者モーション,左手憑依者モーション,胸アクセ憑依者モーション,鎧憑依者モーション,アイテム説明,国内専用アイテムフラグ,課金アイテムフラグ,ゴーレムカタログアイテム検索フラグ,ワールド用リサイクルポイント
#▼81000000?DEMパーツ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#▼81000000?DEMパーツ（頭）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81000000,81000000,81000000,オグルヘッド,PARTS_HEAD,10000,100,50,1,0,10047860,-1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ＤＥＭ用ヘッドパーツ$Rカスタマイズ部屋で装着が可能,0,0,1,0
81000100,81000100,81000100,オルコヘッド,PARTS_HEAD,10000,100,50,1,0,10047860,-1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NONE,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ＤＥＭ用ヘッドパーツ$Rカスタマイズ部屋で装着が可能,0,0,1,0
81000200,81000200,81000200,エロイカヘッド,PARTS_HEAD,0,100,50,1,0,10047860,-1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NONE,NONE,0,0,0,0,0,0,400,100,100,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,銀色のフォルムに金のラインが輝く$RＤＥＭ.エロイカのヘッドパーツ$Rカスタマイズ部屋で装着が可能,0,1,0,10
81000300,81000300,81000300,メッカニカヘッド,PARTS_HEAD,0,100,50,1,0,10047860,-1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NONE,NONE,0,0,0,0,0,0,100,100,100,0,0,0,0,4,8,0,0,4,0,0,0,0,0,0,3,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,淡い薄紫色の花のような$R美しいフォルム$RＤＥＭ.メッカニカのヘッドパーツ$Rカスタマイズ部屋で装着が可能,0,1,0,10
81000400,81000400,81000400,クレドヘッド,PARTS_HEAD,0,100,50,1,0,10047860,-1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NONE,NONE,0,0,0,0,0,0,100,100,100,0,0,0,0,10,0,0,0,2,0,0,0,0,0,10,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,青いフードに鋼鉄の仮面$RＤＥＭ.クレドのヘッドパーツ$Rカスタマイズ部屋で装着が可能,0,1,0,10
81000500,81000500,81000500,ミメーティカヘッド,PARTS_HEAD,0,100,50,1,0,10047860,-1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NONE,NONE,0,0,0,0,0,0,100,100,100,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,8,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,赤いゴーグルと迷彩柄が特徴的な$RＤＥＭ.ミメーティカの$Rヘッドパーツ$Rカスタマイズ部屋で装着が可能,0,1,0,10
81000600,81000600,81000600,ナロースパーダヘッド,PARTS_HEAD,0,100,50,1,0,10047860,-1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NONE,NONE,0,0,0,0,0,0,100,100,100,0,0,0,6,0,2,4,0,0,0,0,0,0,0,0,9,3,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,耳のアンテナが特徴的な$RＤＥＭ.ナロースパーダの$Rヘッドパーツ$Rカスタマイズ部屋で装着が可能,0,1,0,10
81000700,81000700,81000700,ナローフチーレヘッド,PARTS_HEAD,0,100,50,1,0,10047860,-1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NONE,NONE,0,0,0,0,0,0,140,120,120,600,600,0,0,0,0,0,0,2,0,0,0,0,0,0,5,5,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,翼のような機械の耳が特徴的な$RＤＥＭ.ナローフチーレの$Rヘッドパーツ$Rカスタマイズ部屋で装着が可能,0,1,0,10
81000701,81000701,81000700,ナローフチーレヘッド零式,PARTS_HEAD,0,100,50,1,0,10047860,-1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NONE,NONE,0,0,0,0,0,0,140,120,120,600,600,0,0,0,2,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,翼のような機械の耳が特徴的な$RＤＥＭ.ナローフチーレ零式の$Rヘッドパーツ$Rカスタマイズ部屋で装着が可能,0,1,0,10
81000800,81000800,81000800,ヴェロチスタヘッド,PARTS_HEAD,0,100,50,1,0,10047860,-1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,NONE,NONE,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,6,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,宝飾が特徴的なサークレット型$RＤＥＭ.ヴェロチスタの$Rヘッドパーツ$Rカスタマイズ部屋で装着が可能,0,1,0,10
