EVENTID,地图ID,地图名称,X,Y
10000316,75000000,家之中,5,12
10000468,10001000,北方海角,91,0
10000468,10001000,北方海角,92,0
10000468,10001000,北方海角,91,1
10000468,10001000,北方海角,92,1
10000255,10001000,北方海角,195,254
10000255,10001000,北方海角,196,254
10000255,10001000,北方海角,195,255
10000255,10001000,北方海角,196,255
1,10001001,北方海角,195,254
1,10001001,北方海角,196,254
1,10001001,北方海角,195,255
1,10001001,北方海角,196,255
10000248,10002000,瑞路斯雪原,254,31
10000248,10002000,瑞路斯雪原,255,31
10000248,10002000,瑞路斯雪原,254,32
10000248,10002000,瑞路斯雪原,255,32
10000182,10002000,瑞路斯雪原,49,223
10000182,10002000,瑞路斯雪原,50,223
10000182,10002000,瑞路斯雪原,49,224
10000182,10002000,瑞路斯雪原,50,224
10000249,10003000,瑞路斯山道,0,32
10000249,10003000,瑞路斯山道,1,32
10000249,10003000,瑞路斯山道,0,33
10000249,10003000,瑞路斯山道,1,33
10000276,10003000,瑞路斯山道,254,58
10000276,10003000,瑞路斯山道,255,58
10000276,10003000,瑞路斯山道,254,59
10000276,10003000,瑞路斯山道,255,59
10000252,10003000,瑞路斯山道,254,210
10000252,10003000,瑞路斯山道,255,210
10000252,10003000,瑞路斯山道,254,211
10000252,10003000,瑞路斯山道,255,211
10000251,10003000,瑞路斯山道,78,254
10000251,10003000,瑞路斯山道,79,254
10000251,10003000,瑞路斯山道,78,255
10000251,10003000,瑞路斯山道,79,255
10000254,10004000,瑞路斯分岔路,195,0
10000254,10004000,瑞路斯分岔路,196,0
10000254,10004000,瑞路斯分岔路,195,1
10000254,10004000,瑞路斯分岔路,196,1
10000277,10004000,瑞路斯分岔路,0,58
10000277,10004000,瑞路斯分岔路,1,58
10000277,10004000,瑞路斯分岔路,0,59
10000277,10004000,瑞路斯分岔路,1,59
10000253,10004000,瑞路斯分岔路,0,210
10000253,10004000,瑞路斯分岔路,1,210
10000253,10004000,瑞路斯分岔路,0,211
10000253,10004000,瑞路斯分岔路,1,211
10000250,10014000,奧克魯尼亞北部平原,79,0
10000250,10014000,奧克魯尼亞北部平原,80,0
10000250,10014000,奧克魯尼亞北部平原,79,1
10000250,10014000,奧克魯尼亞北部平原,80,1
10000256,10014000,奧克魯尼亞北部平原,254,119
10000256,10014000,奧克魯尼亞北部平原,255,119
10000256,10014000,奧克魯尼亞北部平原,254,120
10000256,10014000,奧克魯尼亞北部平原,255,120
10001323,10014000,奧克魯尼亞北部平原,122,147
10000163,10014000,奧克魯尼亞北部平原,127,254
10000163,10014000,奧克魯尼亞北部平原,128,254
10000163,10014000,奧克魯尼亞北部平原,127,255
10000163,10014000,奧克魯尼亞北部平原,128,255
10000425,10014002,指導地圖,127,254
10000425,10014002,指導地圖,128,254
10000425,10014002,指導地圖,127,255
10000425,10014002,指導地圖,128,255
10000425,10014012,指導地圖,127,254
10000425,10014012,指導地圖,128,254
10000425,10014012,指導地圖,127,255
10000425,10014012,指導地圖,128,255
10000425,10014022,指導地圖,127,254
10000425,10014022,指導地圖,128,254
10000425,10014022,指導地圖,127,255
10000425,10014022,指導地圖,128,255
10000425,10014032,指導地圖,127,254
10000425,10014032,指導地圖,128,254
10000425,10014032,指導地圖,127,255
10000425,10014032,指導地圖,128,255
10000425,10014042,指導地圖,127,254
10000425,10014042,指導地圖,128,254
10000425,10014042,指導地圖,127,255
10000425,10014042,指導地圖,128,255
10000425,10014052,指導地圖,127,254
10000425,10014052,指導地圖,128,254
10000425,10014052,指導地圖,127,255
10000425,10014052,指導地圖,128,255
10000258,10015000,奧克魯尼亞叢林,254,75
10000258,10015000,奧克魯尼亞叢林,255,75
10000258,10015000,奧克魯尼亞叢林,254,76
10000258,10015000,奧克魯尼亞叢林,255,76
10000257,10015000,奧克魯尼亞叢林,0,119
10000257,10015000,奧克魯尼亞叢林,1,119
10000257,10015000,奧克魯尼亞叢林,0,120
10000257,10015000,奧克魯尼亞叢林,1,120
10000260,10015000,奧克魯尼亞叢林,100,254
10000260,10015000,奧克魯尼亞叢林,101,254
10000262,10015000,奧克魯尼亞叢林,203,254
10000262,10015000,奧克魯尼亞叢林,204,254
10000260,10015000,奧克魯尼亞叢林,100,255
10000260,10015000,奧克魯尼亞叢林,101,255
10000262,10015000,奧克魯尼亞叢林,203,255
10000262,10015000,奧克魯尼亞叢林,204,255
10000264,10017000,帕斯特街道,254,41
10000264,10017000,帕斯特街道,255,41
10000264,10017000,帕斯特街道,254,42
10000264,10017000,帕斯特街道,255,42
10000259,10017000,帕斯特街道,0,77
10000259,10017000,帕斯特街道,1,77
10000259,10017000,帕斯特街道,0,78
10000259,10017000,帕斯特街道,1,78
10000265,10018000,東方海角,0,41
10000265,10018000,東方海角,1,41
10000265,10018000,東方海角,0,42
10000265,10018000,東方海角,1,42
10000430,10018000,東方海角,190,65
10000430,10018000,東方海角,191,65
10000430,10018000,東方海角,190,66
10000430,10018000,東方海角,191,66
10001302,10018001,東方海角,190,65
10001302,10018001,東方海角,191,65
10001302,10018001,東方海角,190,66
10001302,10018001,東方海角,191,66
10001302,10018003,東方海角,190,65
10001302,10018003,東方海角,191,65
10001302,10018003,東方海角,190,66
10001302,10018003,東方海角,191,66
10000265,10018100,東方海角,0,41
10000265,10018100,東方海角,1,41
10000265,10018100,東方海角,0,42
10000265,10018100,東方海角,1,42
10000432,10018100,東方海角,203,62
10000431,10018100,東方海角,192,65
10000431,10018100,東方海角,193,65
10000431,10018100,東方海角,192,66
10000431,10018100,東方海角,193,66
10000434,10018100,東方海角,222,66
10000436,10018100,東方海角,227,71
10000810,10018100,東方海角,254,81
10000810,10018100,東方海角,255,81
10000810,10018100,東方海角,254,82
10000810,10018100,東方海角,255,82
10001301,10018101,東方海角,192,65
10001301,10018101,東方海角,193,65
10001301,10018101,東方海角,192,66
10001301,10018101,東方海角,193,66
12002069,10018101,東方海角,240,79
12002069,10018101,東方海角,240,80
12002069,10018101,東方海角,240,81
12002069,10018101,東方海角,240,82
12002069,10018101,東方海角,240,83
12002069,10018101,東方海角,240,84
10001301,10018102,東方海角,192,65
10001301,10018102,東方海角,193,65
10001301,10018102,東方海角,192,66
10001301,10018102,東方海角,193,66
12002069,10018102,東方海角,240,79
12002069,10018102,東方海角,240,80
12002069,10018102,東方海角,240,81
12002069,10018102,東方海角,240,82
12002069,10018102,東方海角,240,83
12002069,10018102,東方海角,240,84
10001301,10018103,東方海角,192,65
10001301,10018103,東方海角,193,65
10001301,10018103,東方海角,192,66
10001301,10018103,東方海角,193,66
12002069,10018103,東方海角,240,79
12002069,10018103,東方海角,240,80
12002069,10018103,東方海角,240,81
12002069,10018103,東方海角,240,82
12002069,10018103,東方海角,240,83
12002069,10018103,東方海角,240,84
18000192,10018104,10018104,200,63
18000192,10018104,10018104,201,63
18000192,10018104,10018104,202,63
18000192,10018104,10018104,203,63
18000192,10018104,10018104,204,63
18000192,10018104,10018104,205,63
18000192,10018104,10018104,200,64
18000192,10018104,10018104,205,64
18000192,10018104,10018104,200,65
18000192,10018104,10018104,205,65
18000192,10018104,10018104,200,66
18000192,10018104,10018104,205,66
18000192,10018104,10018104,200,67
18000192,10018104,10018104,205,67
18000192,10018104,10018104,200,68
18000192,10018104,10018104,201,68
18000192,10018104,10018104,202,68
18000192,10018104,10018104,203,68
18000192,10018104,10018104,204,68
18000192,10018104,10018104,205,68
10000266,10019000,不死島嶼,254,168
10000266,10019000,不死島嶼,255,168
10000266,10019000,不死島嶼,254,169
10000266,10019000,不死島嶼,255,169
10000275,10019100,不死島嶼,94,104
10000266,10019100,不死島嶼,254,168
10000266,10019100,不死島嶼,255,168
10000266,10019100,不死島嶼,254,169
10000266,10019100,不死島嶼,255,169
1,10020000,殺人蜂山路,7,0
1,10020000,殺人蜂山路,8,0
1,10020000,殺人蜂山路,7,1
1,10020000,殺人蜂山路,8,1
10000767,10020000,殺人蜂山路,182,45
10000767,10020000,殺人蜂山路,183,45
10000767,10020000,殺人蜂山路,182,46
10000767,10020000,殺人蜂山路,183,46
10000270,10020000,殺人蜂山路,254,159
10000270,10020000,殺人蜂山路,255,159
10000270,10020000,殺人蜂山路,254,160
10000270,10020000,殺人蜂山路,255,160
10000267,10020000,殺人蜂山路,0,168
10000267,10020000,殺人蜂山路,1,168
10000267,10020000,殺人蜂山路,0,169
10000267,10020000,殺人蜂山路,1,169
10000268,10020000,殺人蜂山路,41,254
10000268,10020000,殺人蜂山路,42,254
10000268,10020000,殺人蜂山路,41,255
10000268,10020000,殺人蜂山路,42,255
10000161,10022000,奧克魯尼亞西部平原,254,127
10000161,10022000,奧克魯尼亞西部平原,255,127
10000161,10022000,奧克魯尼亞西部平原,254,128
10000161,10022000,奧克魯尼亞西部平原,255,128
10001319,10022000,奧克魯尼亞西部平原,143,133
10000271,10022000,奧克魯尼亞西部平原,0,159
10000271,10022000,奧克魯尼亞西部平原,1,159
10000271,10022000,奧克魯尼亞西部平原,0,160
10000271,10022000,奧克魯尼亞西部平原,1,160
10000272,10022000,奧克魯尼亞西部平原,193,254
10000272,10022000,奧克魯尼亞西部平原,194,254
10000272,10022000,奧克魯尼亞西部平原,193,255
10000272,10022000,奧克魯尼亞西部平原,194,255
10000030,10023000,上城,127,0
10000030,10023000,上城,128,0
10000030,10023000,上城,127,1
10000030,10023000,上城,128,1
10000032,10023000,上城,116,23
10000032,10023000,上城,117,23
10000031,10023000,上城,138,23
10000031,10023000,上城,139,23
10000032,10023000,上城,116,24
10000032,10023000,上城,117,24
10000031,10023000,上城,138,24
10000031,10023000,上城,139,24
10000033,10023000,上城,127,32
10000033,10023000,上城,128,32
10000033,10023000,上城,127,33
10000033,10023000,上城,128,33
